id,err_C_1,err_C_2,err_C_3,err_C_4,err_phi_21,err_phi_31,err_phi_41,err_[Fe/H],err_log T_eff,err_M_v,err_log L,err_mass,err_log g
V003,0.0021742845178641637,0.0017147009388326444,0.0019086522531629481,0.001834654310458828,0.04436786639450807,0.0832125065376765,0.16808535002809805,0.0014380961133774928,0.00046599005644313494,0.008389013237549063,1.1260086895963744e-05,0.009153375732093485,0.009341239843066704
V004,0.0022043864890487,0.0024007613301393433,0.0025133271070510647,0.002267626257925706,0.02789126349366596,0.08122721008361065,0.11146747523775091,0.001294479298702022,0.00045487239206855155,0.010158534177715013,1.6511330662368646e-05,0.008934993119383148,0.009118383461805228
V005,0.0025944589615235544,0.002341847994026449,0.002660154884679773,0.002421946383279875,0.05571352682342357,0.13378374861732464,0.24944433510325803,0.0034803883183302047,0.0007491890214082747,0.01104584812953308,1.9521721744113505e-05,0.014716212366939535,0.015018250049964642
V007,0.005074627880717773,0.005938394953548988,0.006121357400724555,0.004510485419658107,0.11783373287983187,0.16941339537163166,0.869762834139164,0.006104662724357548,0.0009487150449850165,0.020717371423438942,6.86735165914759e-05,0.018635473511057654,0.019018058597514816
V010,0.004198418838101438,0.004338200725058423,0.004062799860098183,0.004235716561908863,0.10353367322349108,0.2118788238157993,0.5257070421318222,0.008669456485359368,0.0011865214658752878,0.01937926823439319,6.008896596808976e-05,0.02330667065402137,0.023785075965457363
V011,0.004188873489646422,0.004502303613488099,0.004479394728557461,0.004806843005530629,0.07554030654000575,0.15507674197665028,0.24763064761646436,0.004991829625911099,0.0008684297843096445,0.021632895486605665,7.48771467415046e-05,0.017058441636523564,0.01740869789209412
V016,0.01484497233863951,0.019297678839740023,0.017870725892786703,0.017418371575883964,0.29083208370803004,1.4854910344032901,0.9010341436167031,0.6856917015860373,0.008318749888402482,0.07850940855979967,0.000986196357185527,0.1634040138468764,0.16676051666931785
V018,0.0032377300131644854,0.0028449451177023333,0.003250728497202647,0.0030156530243717504,0.08334817134088465,0.19156269077672763,0.8151272358508457,0.007270107516668009,0.0010727510967635905,0.013903009350704971,3.092698704092637e-05,0.02107189600399243,0.021504382723791897
V024,0.003130970536423654,0.0027632230304111254,0.003109764834871242,0.0028749475940998293,0.07685214261992986,0.14436429064539008,0.8000472512432317,0.004020855446248492,0.0008084400542676412,0.013224521451427032,2.7982074819080602e-05,0.01588007198839584,0.01620600735821916
V026,0.005698227809492621,0.007660790074066545,0.005020399043810891,0.007760509352462226,0.2755881293279801,0.3102449500057153,0.19556338131851267,0.03291061126927722,0.001737371738176196,0.036579297484161125,0.000214087200709561,0.03412694451247563,0.03482799942564764
V038,0.004924940190630512,0.003980151063680323,0.003604682922978665,0.0039846998682506836,0.0853811965399254,0.1889142896534666,0.4105889393449695,0.007062893681555607,0.0010579200442950797,0.01811381617223287,5.249765381143121e-05,0.02078057187639973,0.021207122403471244
V040,0.0025246317374953958,0.0023870587057419758,0.0023561755859143564,0.0022665648100181203,0.04840631511431595,0.11701536494807196,0.28112839892899416,0.0030143517752822973,0.0006552860708697514,0.010301988255650265,1.6980953923128954e-05,0.012871690162021943,0.01313587048256427
