;; MJD	etburst	mag	-emag	+emag	limmag	filter	imagename
59140.128495	0.04167	15.764	15.715	15.813	17.85838	B	m15_data1/M15-1_20201018_030502_Oct0idgv_kait_B_c.fit
59140.129387	0.04167	15.6	15.56	15.64	17.89088	V	m15_data1/M15-1_20201018_030619_Oct0idhw_kait_V_c.fit
59140.135718	0.04167	15.652	15.608	15.696	17.85185	B	m15_data1/M15-1_20201018_031526_Oct0idmb_kait_B_c.fit
59140.13662	0.04167	15.506	15.461	15.551	17.95499	V	m15_data1/M15-1_20201018_031644_Oct0idmr_kait_V_c.fit
59140.142905	0.04167	15.58	15.523	15.637	17.43584	B	m15_data1/M15-1_20201018_032547_Oct0idqw_kait_B_c.fit
59140.143773	0.04167	15.28	15.206	15.354	17.07035	V	m15_data1/M15-1_20201018_032702_Oct0idrl_kait_V_c.fit
59140.177986	0.04167	15.543	15.504	15.582	17.91045	B	m15_data1/M15-1_20201018_041618_Oct0ient_kait_B_c.fit
59140.178877	0.04167	14.476	14.401	14.551	16.90287	V	m15_data1/M15-1_20201018_041735_Oct0ieot_kait_V_c.fit
59140.185174	0.04167	15.597	15.555	15.639	17.88707	B	m15_data1/M15-1_20201018_042639_Oct0iesy_kait_B_c.fit
59140.186076	0.04167	15.289	15.246	15.332	17.73195	V	m15_data1/M15-1_20201018_042757_Oct0ieto_kait_V_c.fit
59140.192384	0.04167	15.514	15.471	15.557	17.77968	B	m15_data1/M15-1_20201018_043702_Oct0iext_kait_B_c.fit
59140.193275	0.04167	15.358	15.316	15.4	17.79044	V	m15_data1/M15-1_20201018_043819_Oct0ieyi_kait_V_c.fit
59140.207627	0.04167	15.641	15.601	15.681	17.95166	B	m15_data1/M15-1_20201018_045859_Oct0ifhs_kait_B_c.fit
59140.20853	0.04167	15.412	15.37	15.454	17.80403	V	m15_data1/M15-1_20201018_050017_Oct0ifim_kait_V_c.fit
59140.21485	0.04167	15.636	15.589	15.683	17.80256	B	m15_data1/M15-1_20201018_050923_Oct0ifmr_kait_B_c.fit
59140.215764	0.04167	15.384	15.328	15.44	17.30564	V	m15_data1/M15-1_20201018_051042_Oct0ifnh_kait_V_c.fit
59140.222037	0.04167	15.628	15.579	15.677	17.69617	B	m15_data1/M15-1_20201018_051944_Oct0ifrl_kait_B_c.fit
59140.222905	0.04167	15.411	15.357	15.465	17.48574	V	m15_data1/M15-1_20201018_052059_Oct0ifsb_kait_V_c.fit
59140.2361	0.04167	15.658	15.605	15.711	17.43531	B	m15_data1/M15-1_20201018_053959_Oct0igao_kait_B_c.fit
59140.236991	0.04167	15.472	15.429	15.515	17.64238	V	m15_data1/M15-1_20201018_054116_Oct0igbk_kait_V_c.fit
