;; MJD	etburst	mag	-emag	+emag	limmag	filter	imagename
59140.128495	0.04167	16.381	16.339	16.423	18.26165	B	m15_data1/M15-1_20201018_030502_Oct0idgv_kait_B_c.fit
59140.129387	0.04167	16.1	16.069	16.131	18.41546	V	m15_data1/M15-1_20201018_030619_Oct0idhw_kait_V_c.fit
59140.135718	0.04167	16.362	16.319	16.405	18.1934	B	m15_data1/M15-1_20201018_031526_Oct0idmb_kait_B_c.fit
59140.13662	0.04167	16.125	16.091	16.159	18.3829	V	m15_data1/M15-1_20201018_031644_Oct0idmr_kait_V_c.fit
59140.142905	0.04167	16.248	16.209	16.287	17.77625	B	m15_data1/M15-1_20201018_032547_Oct0idqw_kait_B_c.fit
59140.143773	0.04167	15.959	15.921	15.997	17.64628	V	m15_data1/M15-1_20201018_032702_Oct0idrl_kait_V_c.fit
59140.177986	0.04167	16.22	16.182	16.258	18.23938	B	m15_data1/M15-1_20201018_041618_Oct0ient_kait_B_c.fit
59140.178877	0.04167	15.872	15.831	15.913	17.51598	V	m15_data1/M15-1_20201018_041735_Oct0ieot_kait_V_c.fit
59140.185174	0.04167	16.152	16.112	16.192	18.23153	B	m15_data1/M15-1_20201018_042639_Oct0iesy_kait_B_c.fit
59140.186076	0.04167	15.867	15.834	15.9	18.12013	V	m15_data1/M15-1_20201018_042757_Oct0ieto_kait_V_c.fit
59140.192384	0.04167	16.049	16.01	16.088	18.06069	B	m15_data1/M15-1_20201018_043702_Oct0iext_kait_B_c.fit
59140.193275	0.04167	15.846	15.818	15.874	18.22468	V	m15_data1/M15-1_20201018_043819_Oct0ieyi_kait_V_c.fit
59140.207627	0.04167	15.934	15.895	15.973	18.2277	B	m15_data1/M15-1_20201018_045859_Oct0ifhs_kait_B_c.fit
59140.20853	0.04167	15.702	15.678	15.726	18.35548	V	m15_data1/M15-1_20201018_050017_Oct0ifim_kait_V_c.fit
59140.21485	0.04167	15.834	15.796	15.872	18.00793	B	m15_data1/M15-1_20201018_050923_Oct0ifmr_kait_B_c.fit
59140.215764	0.04167	15.591	15.561	15.621	17.79914	V	m15_data1/M15-1_20201018_051042_Oct0ifnh_kait_V_c.fit
59140.222037	0.04167	15.826	15.791	15.861	17.95572	B	m15_data1/M15-1_20201018_051944_Oct0ifrl_kait_B_c.fit
59140.222905	0.04167	15.607	15.58	15.634	17.92251	V	m15_data1/M15-1_20201018_052059_Oct0ifsb_kait_V_c.fit
