;; MJD	etburst	mag	-emag	+emag	limmag	filter	imagename
59140.133032	0.04167	15.784	15.767	15.801	18.40505	V	m15_data3/M15-3_20201018_031134_Oct0idkg_kait_V_c.fit
59140.139306	0.04167	16.017	15.991	16.043	18.52893	B	m15_data3/M15-3_20201018_032036_Oct0idol_kait_B_c.fit
59140.140208	0.04167	15.786	15.768	15.804	18.60703	V	m15_data3/M15-3_20201018_032154_Oct0idpb_kait_V_c.fit
59140.14647	0.04167	16.113	16.085	16.141	18.39823	B	m15_data3/M15-3_20201018_033055_Oct0idtf_kait_B_c.fit
59140.147361	0.04167	15.809	15.793	15.825	18.45401	V	m15_data3/M15-3_20201018_033212_Oct0idtv_kait_V_c.fit
59140.181586	0.04167	16.224	16.189	16.259	18.53725	B	m15_data3/M15-3_20201018_042129_Oct0ieqp_kait_B_c.fit
59140.182488	0.04167	15.932	15.915	15.949	18.29099	V	m15_data3/M15-3_20201018_042247_Oct0iere_kait_V_c.fit
59140.188785	0.04167	16.233	16.205	16.261	18.29884	B	m15_data3/M15-3_20201018_043151_Oct0ievj_kait_B_c.fit
59140.189688	0.04167	15.913	15.897	15.929	18.63505	V	m15_data3/M15-3_20201018_043309_Oct0ievy_kait_V_c.fit
59140.196042	0.04167	16.276	16.248	16.304	18.07013	B	m15_data3/M15-3_20201018_044218_Oct0ifad_kait_B_c.fit
59140.196933	0.04167	15.926	15.911	15.941	18.50777	V	m15_data3/M15-3_20201018_044335_Oct0ifat_kait_V_c.fit
59140.211262	0.04167	16.218	16.181	16.255	18.2039	B	m15_data3/M15-3_20201018_050413_Oct0ifkh_kait_B_c.fit
59140.212164	0.04167	15.971	15.953	15.989	18.22456	V	m15_data3/M15-3_20201018_050531_Oct0ifkw_kait_V_c.fit
59140.218449	0.04167	16.298	16.265	16.331	17.96744	B	m15_data3/M15-3_20201018_051434_Oct0ifpb_kait_B_c.fit
59140.219352	0.04167	16.001	15.981	16.021	18.49606	V	m15_data3/M15-3_20201018_051552_Oct0ifpr_kait_V_c.fit
59140.225648	0.04167	16.35	16.323	16.377	18.34854	B	m15_data3/M15-3_20201018_052456_Oct0iftv_kait_B_c.fit
59140.226516	0.04167	15.978	15.956	16.0	18.44914	V	m15_data3/M15-3_20201018_052611_Oct0iful_kait_V_c.fit
59140.239745	0.04167	16.426	16.388	16.464	17.91582	B	m15_data3/M15-3_20201018_054514_Oct0igdf_kait_B_c.fit
59140.240637	0.04167	16.013	15.995	16.031	18.33306	V	m15_data3/M15-3_20201018_054631_Oct0igdv_kait_V_c.fit
59140.246944	0.04167	16.392	16.362	16.422	18.35363	B	m15_data3/M15-3_20201018_055536_Oct0igia_kait_B_c.fit
59140.247882	0.04167	16.053	16.029	16.077	18.35626	V	m15_data3/M15-3_20201018_055657_Oct0igiq_kait_V_c.fit
59140.25412	0.04167	16.432	16.395	16.469	18.14108	B	m15_data3/M15-3_20201018_060556_Oct0igmu_kait_B_c.fit
59140.255023	0.04167	16.073	16.053	16.093	18.03528	V	m15_data3/M15-3_20201018_060714_Oct0ignj_kait_V_c.fit
59140.268275	0.04167	16.397	16.363	16.431	18.06696	B	m15_data3/M15-3_20201018_062619_Oct0igwf_kait_B_c.fit
59140.269178	0.04167	16.131	16.107	16.155	18.15842	V	m15_data3/M15-3_20201018_062737_Oct0igwu_kait_V_c.fit
59140.275463	0.04167	16.441	16.401	16.481	18.14897	B	m15_data3/M15-3_20201018_063640_Oct0ihay_kait_B_c.fit
59140.276354	0.04167	16.128	16.105	16.151	18.09281	V	m15_data3/M15-3_20201018_063757_Oct0ihbo_kait_V_c.fit
59140.282731	0.04167	16.523	16.487	16.559	18.04289	B	m15_data3/M15-3_20201018_064708_Oct0ihfu_kait_B_c.fit
59140.283623	0.04167	16.181	16.158	16.204	18.24538	V	m15_data3/M15-3_20201018_064825_Oct0ihgj_kait_V_c.fit
59141.108206	0.04167	16.376	16.345	16.407	18.51413	B	m15_data3/M15-3_20201019_023549_Oct0jctu_kait_B_c.fit
59141.109097	0.04167	16.088	16.069	16.107	18.61893	V	m15_data3/M15-3_20201019_023706_Oct0jcuk_kait_V_c.fit
59141.115428	0.04167	16.419	16.381	16.457	18.5723	B	m15_data3/M15-3_20201019_024613_Oct0jcyp_kait_B_c.fit
59141.116331	0.04167	16.097	16.076	16.118	18.69716	V	m15_data3/M15-3_20201019_024731_Oct0jcze_kait_V_c.fit
59141.122639	0.04167	16.415	16.387	16.443	18.62153	B	m15_data3/M15-3_20201019_025636_Oct0jddk_kait_B_c.fit
59141.123519	0.04167	16.093	16.077	16.109	18.62633	V	m15_data3/M15-3_20201019_025752_Oct0jddz_kait_V_c.fit
59141.136678	0.04167	16.448	16.421	16.475	18.4187	B	m15_data3/M15-3_20201019_031649_Oct0jdms_kait_B_c.fit
59141.137569	0.04167	16.112	16.093	16.131	18.56843	V	m15_data3/M15-3_20201019_031806_Oct0jdni_kait_V_c.fit
59141.143889	0.04167	16.484	16.45	16.518	18.5834	B	m15_data3/M15-3_20201019_032712_Oct0jdrn_kait_B_c.fit
59141.14478	0.04167	16.127	16.106	16.148	17.9517	V	m15_data3/M15-3_20201019_032829_Oct0jdsd_kait_V_c.fit
59141.151019	0.04167	16.444	16.409	16.479	18.4826	B	m15_data3/M15-3_20201019_033728_Oct0jdwg_kait_B_c.fit
