;; MJD	etburst	mag	-emag	+emag	limmag	filter	imagename
59140.128495	0.04167	15.8	15.777	15.823	18.28813	B	m15_data1/M15-1_20201018_030502_Oct0idgv_kait_B_c.fit
59140.129387	0.04167	15.611	15.586	15.636	18.3645	V	m15_data1/M15-1_20201018_030619_Oct0idhw_kait_V_c.fit
59140.135718	0.04167	15.783	15.756	15.81	18.19206	B	m15_data1/M15-1_20201018_031526_Oct0idmb_kait_B_c.fit
59140.13662	0.04167	15.612	15.59	15.634	18.32051	V	m15_data1/M15-1_20201018_031644_Oct0idmr_kait_V_c.fit
59140.142905	0.04167	15.741	15.703	15.779	17.96644	B	m15_data1/M15-1_20201018_032547_Oct0idqw_kait_B_c.fit
59140.143773	0.04167	15.537	15.516	15.558	17.71466	V	m15_data1/M15-1_20201018_032702_Oct0idrl_kait_V_c.fit
59140.177986	0.04167	15.801	15.77	15.832	18.24489	B	m15_data1/M15-1_20201018_041618_Oct0ient_kait_B_c.fit
59140.178877	0.04167	15.648	15.621	15.675	17.61519	V	m15_data1/M15-1_20201018_041735_Oct0ieot_kait_V_c.fit
59140.185174	0.04167	15.871	15.841	15.901	18.18219	B	m15_data1/M15-1_20201018_042639_Oct0iesy_kait_B_c.fit
59140.186076	0.04167	15.635	15.608	15.662	18.11905	V	m15_data1/M15-1_20201018_042757_Oct0ieto_kait_V_c.fit
59140.192384	0.04167	15.844	15.81	15.878	18.09532	B	m15_data1/M15-1_20201018_043702_Oct0iext_kait_B_c.fit
59140.193275	0.04167	15.678	15.654	15.702	18.18639	V	m15_data1/M15-1_20201018_043819_Oct0ieyi_kait_V_c.fit
59140.207627	0.04167	15.876	15.842	15.91	18.32533	B	m15_data1/M15-1_20201018_045859_Oct0ifhs_kait_B_c.fit
59140.20853	0.04167	15.771	15.737	15.805	18.27887	V	m15_data1/M15-1_20201018_050017_Oct0ifim_kait_V_c.fit
59140.21485	0.04167	15.927	15.896	15.958	18.03881	B	m15_data1/M15-1_20201018_050923_Oct0ifmr_kait_B_c.fit
59140.215764	0.04167	15.728	15.704	15.752	17.97749	V	m15_data1/M15-1_20201018_051042_Oct0ifnh_kait_V_c.fit
59140.222037	0.04167	15.926	15.898	15.954	18.05527	B	m15_data1/M15-1_20201018_051944_Oct0ifrl_kait_B_c.fit
59140.222905	0.04167	15.685	15.654	15.716	18.06865	V	m15_data1/M15-1_20201018_052059_Oct0ifsb_kait_V_c.fit
59140.2361	0.04167	15.935	15.904	15.966	18.02234	B	m15_data1/M15-1_20201018_053959_Oct0igao_kait_B_c.fit
59140.236991	0.04167	15.778	15.743	15.813	18.33059	V	m15_data1/M15-1_20201018_054116_Oct0igbk_kait_V_c.fit
59140.243368	0.04167	16.047	16.002	16.092	18.30189	B	m15_data1/M15-1_20201018_055027_Oct0igfq_kait_B_c.fit
59141.104618	0.04167	16.521	16.476	16.566	18.14453	B	m15_data1/M15-1_20201019_023039_Oct0jcrb_kait_B_c.fit
59141.105509	0.04167	16.134	16.101	16.167	18.26071	V	m15_data1/M15-1_20201019_023156_Oct0jcrz_kait_V_c.fit
59141.111829	0.04167	16.475	16.424	16.526	18.30847	B	m15_data1/M15-1_20201019_024102_Oct0jcwf_kait_B_c.fit
59141.11272	0.04167	16.139	16.101	16.177	18.34455	V	m15_data1/M15-1_20201019_024219_Oct0jcwu_kait_V_c.fit
59141.119016	0.04167	16.485	16.437	16.533	18.39541	B	m15_data1/M15-1_20201019_025123_Oct0jdaz_kait_B_c.fit
59141.119919	0.04167	16.136	16.098	16.174	18.35216	V	m15_data1/M15-1_20201019_025241_Oct0jdbo_kait_V_c.fit
59141.133102	0.04167	16.48	16.435	16.525	18.31298	B	m15_data1/M15-1_20201019_031140_Oct0jdkd_kait_B_c.fit
59141.13397	0.04167	16.093	16.066	16.12	18.08528	V	m15_data1/M15-1_20201019_031255_Oct0jdky_kait_V_c.fit
59141.140301	0.04167	16.43	16.389	16.471	18.46253	B	m15_data1/M15-1_20201019_032202_Oct0jdpd_kait_B_c.fit
59141.141204	0.04167	16.056	16.024	16.088	18.09614	V	m15_data1/M15-1_20201019_032320_Oct0jdps_kait_V_c.fit
