;; MJD	etburst	mag	-emag	+emag	limmag	filter	imagename
59140.134826	0.04167	14.443	14.428	14.458	18.18906	V	m15_data4/M15-4_20201018_031409_Oct0idlm_kait_V_c.fit
59140.141111	0.04167	14.623	14.605	14.641	18.39094	B	m15_data4/M15-4_20201018_032312_Oct0idpr_kait_B_c.fit
59140.142002	0.04167	14.454	14.439	14.469	18.30979	V	m15_data4/M15-4_20201018_032429_Oct0idqg_kait_V_c.fit
59140.14831	0.04167	14.635	14.621	14.649	18.10034	B	m15_data4/M15-4_20201018_033334_Oct0iduk_kait_B_c.fit
59140.14919	0.04167	14.464	14.452	14.476	18.20324	V	m15_data4/M15-4_20201018_033450_Oct0idvb_kait_V_c.fit
59140.183391	0.04167	14.678	14.657	14.699	18.39992	B	m15_data4/M15-4_20201018_042405_Oct0iert_kait_B_c.fit
59140.184282	0.04167	14.5	14.481	14.519	18.28933	V	m15_data4/M15-4_20201018_042522_Oct0iesj_kait_V_c.fit
59140.190579	0.04167	14.691	14.677	14.705	18.06694	B	m15_data4/M15-4_20201018_043426_Oct0iewn_kait_B_c.fit
59140.191481	0.04167	14.495	14.481	14.509	17.97798	V	m15_data4/M15-4_20201018_043544_Oct0iexd_kait_V_c.fit
59140.197801	0.04167	14.701	14.688	14.714	17.75348	B	m15_data4/M15-4_20201018_044450_Oct0ifbj_kait_B_c.fit
59140.198704	0.04167	14.505	14.494	14.516	18.26782	V	m15_data4/M15-4_20201018_044608_Oct0ifby_kait_V_c.fit
59140.213056	0.04167	14.736	14.722	14.75	17.94821	B	m15_data4/M15-4_20201018_050648_Oct0iflm_kait_B_c.fit
59140.213947	0.04167	14.539	14.526	14.552	18.31927	V	m15_data4/M15-4_20201018_050805_Oct0ifmb_kait_V_c.fit
59140.220243	0.04167	14.727	14.71	14.744	18.36261	B	m15_data4/M15-4_20201018_051709_Oct0ifqg_kait_B_c.fit
59140.221146	0.04167	14.552	14.539	14.565	18.41728	V	m15_data4/M15-4_20201018_051827_Oct0ifqw_kait_V_c.fit
59140.227454	0.04167	14.769	14.752	14.786	18.251	B	m15_data4/M15-4_20201018_052732_Oct0ifvb_kait_B_c.fit
59140.228345	0.04167	14.547	14.535	14.559	18.50636	V	m15_data4/M15-4_20201018_052849_Oct0ifvq_kait_V_c.fit
59140.241574	0.04167	14.787	14.773	14.801	18.47293	B	m15_data4/M15-4_20201018_054752_Oct0igel_kait_B_c.fit
59140.242465	0.04167	14.568	14.554	14.582	18.3782	V	m15_data4/M15-4_20201018_054909_Oct0igfa_kait_V_c.fit
59140.248773	0.04167	14.816	14.799	14.833	18.27021	B	m15_data4/M15-4_20201018_055814_Oct0igjf_kait_B_c.fit
59140.249641	0.04167	14.609	14.598	14.62	18.5409	V	m15_data4/M15-4_20201018_055929_Oct0igjv_kait_V_c.fit
59140.255972	0.04167	14.848	14.833	14.863	18.25025	B	m15_data4/M15-4_20201018_060836_Oct0ignz_kait_B_c.fit
59140.256863	0.04167	14.62	14.605	14.635	18.36097	V	m15_data4/M15-4_20201018_060953_Oct0igop_kait_V_c.fit
59140.270069	0.04167	14.883	14.868	14.898	18.22463	B	m15_data4/M15-4_20201018_062854_Oct0igxj_kait_B_c.fit
59140.270972	0.04167	14.645	14.63	14.66	18.41883	V	m15_data4/M15-4_20201018_063012_Oct0igxz_kait_V_c.fit
59140.277257	0.04167	14.881	14.864	14.898	18.01536	B	m15_data4/M15-4_20201018_063915_Oct0ihcd_kait_B_c.fit
59140.27816	0.04167	14.682	14.664	14.7	17.86667	V	m15_data4/M15-4_20201018_064033_Oct0ihct_kait_V_c.fit
59140.284514	0.04167	14.941	14.923	14.959	18.04478	B	m15_data4/M15-4_20201018_064942_Oct0ihgz_kait_B_c.fit
59140.285417	0.04167	14.843	14.8	14.886	16.41509	V	m15_data4/M15-4_20201018_065100_Oct0ihho_kait_V_c.fit
59141.110035	0.04167	15.654	15.635	15.673	18.52506	B	m15_data4/M15-4_20201019_023827_Oct0jcva_kait_B_c.fit
59141.110926	0.04167	15.349	15.332	15.366	18.52426	V	m15_data4/M15-4_20201019_023944_Oct0jcvp_kait_V_c.fit
59141.117222	0.04167	15.637	15.619	15.655	18.58019	B	m15_data4/M15-4_20201019_024848_Oct0jczu_kait_B_c.fit
59141.118125	0.04167	15.313	15.298	15.328	18.52978	V	m15_data4/M15-4_20201019_025006_Oct0jdaj_kait_V_c.fit
59141.124421	0.04167	15.642	15.623	15.661	18.59319	B	m15_data4/M15-4_20201019_025910_Oct0jdeo_kait_B_c.fit
59141.125312	0.04167	15.28	15.265	15.295	18.5268	V	m15_data4/M15-4_20201019_030027_Oct0jdfe_kait_V_c.fit
59141.138507	0.04167	15.558	15.541	15.575	18.54501	B	m15_data4/M15-4_20201019_031927_Oct0jdny_kait_B_c.fit
59141.139398	0.04167	15.239	15.22	15.258	17.99183	V	m15_data4/M15-4_20201019_032044_Oct0jdon_kait_V_c.fit
59141.145683	0.04167	15.554	15.535	15.573	18.47887	B	m15_data4/M15-4_20201019_032947_Oct0jdss_kait_B_c.fit
59141.146586	0.04167	15.225	15.209	15.241	18.25417	V	m15_data4/M15-4_20201019_033105_Oct0jdth_kait_V_c.fit
59141.152859	0.04167	15.49	15.473	15.507	18.65111	B	m15_data4/M15-4_20201019_034007_Oct0jdxl_kait_B_c.fit
59141.153762	0.04167	15.21	15.195	15.225	18.62509	V	m15_data4/M15-4_20201019_034125_Oct0jdyb_kait_V_c.fit
59141.167951	0.04167	15.465	15.443	15.487	18.30703	B	m15_data4/M15-4_20201019_040151_Oct0jehm_kait_B_c.fit
59141.168854	0.04167	15.179	15.161	15.197	18.37811	V	m15_data4/M15-4_20201019_040309_Oct0jeic_kait_V_c.fit
59141.175162	0.04167	15.49	15.474	15.506	18.61724	B	m15_data4/M15-4_20201019_041214_Oct0jemh_kait_B_c.fit
59141.176053	0.04167	15.166	15.145	15.187	17.97429	V	m15_data4/M15-4_20201019_041331_Oct0jemx_kait_V_c.fit
59141.182373	0.04167	15.443	15.423	15.463	18.0278	B	m15_data4/M15-4_20201019_042237_Oct0jerc_kait_B_c.fit
59141.183275	0.04167	15.149	15.134	15.164	18.67049	V	m15_data4/M15-4_20201019_042355_Oct0jerr_kait_V_c.fit
59141.196447	0.04167	15.362	15.343	15.381	18.38102	B	m15_data4/M15-4_20201019_044253_Oct0jfal_kait_B_c.fit
59141.19735	0.04167	15.042	15.026	15.058	18.27443	V	m15_data4/M15-4_20201019_044411_Oct0jfba_kait_V_c.fit
59141.203634	0.04167	15.328	15.309	15.347	18.4116	B	m15_data4/M15-4_20201019_045314_Oct0jfff_kait_B_c.fit
59141.204537	0.04167	15.03	15.016	15.044	18.61109	V	m15_data4/M15-4_20201019_045432_Oct0jffv_kait_V_c.fit
59141.211759	0.04167	15.002	14.987	15.017	18.492	V	m15_data4/M15-4_20201019_050456_Oct0jfkp_kait_V_c.fit
59141.224988	0.04167	15.286	15.272	15.3	18.38419	B	m15_data4/M15-4_20201019_052359_Oct0jftk_kait_B_c.fit
59141.22588	0.04167	14.967	14.953	14.981	18.16402	V	m15_data4/M15-4_20201019_052516_Oct0jfua_kait_V_c.fit
59141.232164	0.04167	15.255	15.234	15.276	18.09762	B	m15_data4/M15-4_20201019_053419_Oct0jfye_kait_B_c.fit
59141.233056	0.04167	14.941	14.922	14.96	17.82487	V	m15_data4/M15-4_20201019_053536_Oct0jfyu_kait_V_c.fit
59141.239375	0.04167	15.238	15.218	15.258	18.2233	B	m15_data4/M15-4_20201019_054442_Oct0jgcz_kait_B_c.fit
59141.240278	0.04167	14.935	14.919	14.951	18.16438	V	m15_data4/M15-4_20201019_054600_Oct0jgdo_kait_V_c.fit
59142.119259	0.04167	15.634	15.61	15.658	18.36609	B	m15_data4/M15-4_20201020_025144_Oct0kdbd_kait_B_c.fit
59142.120162	0.04167	15.245	15.228	15.262	18.461	V	m15_data4/M15-4_20201020_025302_Oct0kdbt_kait_V_c.fit
59142.126447	0.04167	15.671	15.649	15.693	18.52222	B	m15_data4/M15-4_20201020_030205_Oct0kdfx_kait_B_c.fit
59142.127338	0.04167	15.256	15.239	15.273	18.67582	V	m15_data4/M15-4_20201020_030322_Oct0kdgn_kait_V_c.fit
59142.133704	0.04167	15.662	15.64	15.684	18.54113	B	m15_data4/M15-4_20201020_031232_Oct0kdkt_kait_B_c.fit
59142.134606	0.04167	15.262	15.248	15.276	18.53586	V	m15_data4/M15-4_20201020_031350_Oct0kdli_kait_V_c.fit
59142.1586	0.04167	15.678	15.656	15.7	18.65253	B	m15_data4/M15-4_20201020_034823_Oct0kebh_kait_B_c.fit
59142.159491	0.04167	15.25	15.232	15.268	18.54983	V	m15_data4/M15-4_20201020_034940_Oct0kebw_kait_V_c.fit
59142.165799	0.04167	15.678	15.657	15.699	18.57687	B	m15_data4/M15-4_20201020_035845_Oct0kegb_kait_B_c.fit
59142.16669	0.04167	15.279	15.262	15.296	18.56306	V	m15_data4/M15-4_20201020_040002_Oct0kegr_kait_V_c.fit
59142.173056	0.04167	15.678	15.657	15.699	18.66479	B	m15_data4/M15-4_20201020_040912_Oct0kekw_kait_B_c.fit
59142.173958	0.04167	15.277	15.253	15.301	17.89918	V	m15_data4/M15-4_20201020_041030_Oct0kelm_kait_V_c.fit
59142.187234	0.04167	15.697	15.675	15.719	18.5559	B	m15_data4/M15-4_20201020_042937_Oct0keui_kait_B_c.fit
59142.188125	0.04167	15.306	15.288	15.324	18.50497	V	m15_data4/M15-4_20201020_043054_Oct0keux_kait_V_c.fit
59142.194433	0.04167	15.683	15.655	15.711	18.34033	B	m15_data4/M15-4_20201020_043959_Oct0kezc_kait_B_c.fit
59142.195324	0.04167	15.305	15.288	15.322	18.46325	V	m15_data4/M15-4_20201020_044116_Oct0kezs_kait_V_c.fit
59142.201655	0.04167	15.725	15.706	15.744	18.42414	B	m15_data4/M15-4_20201020_045023_Oct0kfdx_kait_B_c.fit
59142.202558	0.04167	15.31	15.289	15.331	18.65872	V	m15_data4/M15-4_20201020_045141_Oct0kfem_kait_V_c.fit
59142.227245	0.04167	15.747	15.724	15.77	18.35467	B	m15_data4/M15-4_20201020_052714_Oct0kfuw_kait_B_c.fit
59142.228148	0.04167	15.343	15.318	15.368	17.84588	V	m15_data4/M15-4_20201020_052832_Oct0kfvn_kait_V_c.fit
59142.234456	0.04167	15.77	15.747	15.793	18.4011	B	m15_data4/M15-4_20201020_053737_Oct0kfzs_kait_B_c.fit
59142.235347	0.04167	15.34	15.318	15.362	18.34943	V	m15_data4/M15-4_20201020_053854_Oct0kgah_kait_V_c.fit
59142.241655	0.04167	15.81	15.786	15.834	18.32529	B	m15_data4/M15-4_20201020_054759_Oct0kgem_kait_B_c.fit
59142.242535	0.04167	15.337	15.314	15.36	17.98988	V	m15_data4/M15-4_20201020_054915_Oct0kgfc_kait_V_c.fit
59142.257222	0.04167	15.792	15.768	15.816	18.41885	B	m15_data4/M15-4_20201020_061024_Oct0kgov_kait_B_c.fit
59142.258125	0.04167	15.328	15.309	15.347	18.38457	V	m15_data4/M15-4_20201020_061142_Oct0kgpl_kait_V_c.fit
59142.264456	0.04167	15.819	15.792	15.846	18.23654	B	m15_data4/M15-4_20201020_062049_Oct0kgtq_kait_B_c.fit
59142.265347	0.04167	15.372	15.356	15.388	18.42802	V	m15_data4/M15-4_20201020_062206_Oct0kgug_kait_V_c.fit
59142.271644	0.04167	15.797	15.767	15.827	17.99761	B	m15_data4/M15-4_20201020_063110_Oct0kgyk_kait_B_c.fit
59142.272535	0.04167	15.419	15.399	15.439	18.33348	V	m15_data4/M15-4_20201020_063227_Oct0kgza_kait_V_c.fit
59143.124294	0.04167	14.127	14.11	14.144	18.32056	B	m15_data4/M15-4_20201021_025859_Oct0ldem_kait_B_c.fit
59143.125197	0.04167	14.589	14.577	14.601	18.61781	V	m15_data4/M15-4_20201021_030017_Oct0ldfc_kait_V_c.fit
59143.131447	0.04167	14.24	14.227	14.253	18.41367	B	m15_data4/M15-4_20201021_030917_Oct0ldjg_kait_B_c.fit
59143.132361	0.04167	14.63	14.616	14.644	18.43686	V	m15_data4/M15-4_20201021_031036_Oct0ldjw_kait_V_c.fit
59143.138681	0.04167	14.467	14.449	14.485	18.25778	B	m15_data4/M15-4_20201021_031942_Oct0ldob_kait_B_c.fit
59143.139583	0.04167	14.643	14.629	14.657	18.66612	V	m15_data4/M15-4_20201021_032100_Oct0ldoq_kait_V_c.fit
59143.167442	0.04167	14.85	14.829	14.871	17.82053	B	m15_data4/M15-4_20201021_040107_Oct0lehe_kait_B_c.fit
59143.168333	0.04167	14.751	14.734	14.768	17.75328	V	m15_data4/M15-4_20201021_040224_Oct0lehu_kait_V_c.fit
59143.174641	0.04167	14.906	14.889	14.923	18.35971	B	m15_data4/M15-4_20201021_041129_Oct0lelz_kait_B_c.fit
59143.175544	0.04167	14.714	14.701	14.727	18.34799	V	m15_data4/M15-4_20201021_041247_Oct0lemo_kait_V_c.fit
59143.181887	0.04167	14.974	14.958	14.99	18.54345	B	m15_data4/M15-4_20201021_042155_Oct0leqt_kait_B_c.fit
59143.182778	0.04167	14.747	14.732	14.762	18.354	V	m15_data4/M15-4_20201021_042312_Oct0lerj_kait_V_c.fit
59143.209572	0.04167	15.077	15.058	15.096	18.39813	B	m15_data4/M15-4_20201021_050147_Oct0lfje_kait_B_c.fit
59143.21044	0.04167	14.8	14.789	14.811	18.48171	V	m15_data4/M15-4_20201021_050302_Oct0lfjt_kait_V_c.fit
59143.216736	0.04167	15.101	15.082	15.12	18.49913	B	m15_data4/M15-4_20201021_051206_Oct0lfny_kait_B_c.fit
59143.217604	0.04167	14.82	14.806	14.834	18.60119	V	m15_data4/M15-4_20201021_051321_Oct0lfon_kait_V_c.fit
59143.223924	0.04167	15.111	15.09	15.132	18.14584	B	m15_data4/M15-4_20201021_052227_Oct0lfss_kait_B_c.fit
59143.224815	0.04167	14.811	14.795	14.827	18.0311	V	m15_data4/M15-4_20201021_052344_Oct0lfth_kait_V_c.fit
59143.243137	0.04167	15.208	15.183	15.233	18.34803	B	m15_data4/M15-4_20201021_055007_Oct0lgfm_kait_B_c.fit
59143.244016	0.04167	14.89	14.876	14.904	18.37414	V	m15_data4/M15-4_20201021_055123_Oct0lggb_kait_V_c.fit
59143.250347	0.04167	15.23	15.208	15.252	18.03276	B	m15_data4/M15-4_20201021_060030_Oct0lgkg_kait_B_c.fit
59143.251215	0.04167	14.944	14.93	14.958	18.27618	V	m15_data4/M15-4_20201021_060145_Oct0lgkw_kait_V_c.fit
59143.257593	0.04167	15.248	15.229	15.267	18.15451	B	m15_data4/M15-4_20201021_061056_Oct0lgpc_kait_B_c.fit
59143.258484	0.04167	14.909	14.893	14.925	18.11499	V	m15_data4/M15-4_20201021_061213_Oct0lgpr_kait_V_c.fit
59144.107847	0.04167	15.242	15.225	15.259	18.44319	B	m15_data4/M15-4_20201022_023518_Oct0mcto_kait_B_c.fit
59144.10875	0.04167	14.964	14.947	14.981	18.60766	V	m15_data4/M15-4_20201022_023636_Oct0mcud_kait_V_c.fit
59144.115058	0.04167	15.203	15.188	15.218	18.55176	B	m15_data4/M15-4_20201022_024541_Oct0mcyj_kait_B_c.fit
59144.115961	0.04167	14.954	14.942	14.966	18.46297	V	m15_data4/M15-4_20201022_024659_Oct0mcyy_kait_V_c.fit
59144.122303	0.04167	15.196	15.176	15.216	18.55827	B	m15_data4/M15-4_20201022_025607_Oct0mdde_kait_B_c.fit
59144.123194	0.04167	14.946	14.934	14.958	18.598	V	m15_data4/M15-4_20201022_025724_Oct0mddt_kait_V_c.fit
59144.145961	0.04167	15.065	15.046	15.084	18.56327	B	m15_data4/M15-4_20201022_033011_Oct0mdsw_kait_B_c.fit
59144.146887	0.04167	14.806	14.784	14.828	17.95658	V	m15_data4/M15-4_20201022_033131_Oct0mdtn_kait_V_c.fit
59144.153206	0.04167	15.016	15.0	15.032	18.26208	B	m15_data4/M15-4_20201022_034037_Oct0mdxs_kait_B_c.fit
59144.154109	0.04167	14.787	14.773	14.801	18.60382	V	m15_data4/M15-4_20201022_034155_Oct0mdyh_kait_V_c.fit
59144.160486	0.04167	14.981	14.962	15.0	17.9775	B	m15_data4/M15-4_20201022_035106_Oct0mecn_kait_B_c.fit
59144.161377	0.04167	14.757	14.745	14.769	18.49573	V	m15_data4/M15-4_20201022_035223_Oct0medd_kait_V_c.fit
59144.175567	0.04167	14.849	14.828	14.87	17.94904	B	m15_data4/M15-4_20201022_041249_Oct0memo_kait_B_c.fit
59144.176458	0.04167	14.657	14.643	14.671	18.66578	V	m15_data4/M15-4_20201022_041406_Oct0mene_kait_V_c.fit
59144.182812	0.04167	14.842	14.827	14.857	18.57565	B	m15_data4/M15-4_20201022_042315_Oct0merj_kait_B_c.fit
59144.183715	0.04167	14.649	14.636	14.662	18.62543	V	m15_data4/M15-4_20201022_042433_Oct0merz_kait_V_c.fit
59144.19	0.04167	14.797	14.782	14.812	18.51534	B	m15_data4/M15-4_20201022_043336_Oct0mewd_kait_B_c.fit
59144.190891	0.04167	14.614	14.602	14.626	18.63394	V	m15_data4/M15-4_20201022_043453_Oct0mewt_kait_V_c.fit
