;; MJD	etburst	mag	-emag	+emag	limmag	filter	imagename
59140.137512	0.04167	16.466	16.426	16.506	18.89395	B	m15_data2/M15-2_20201018_031801_Oct0idnh_kait_B_c.fit
59140.138403	0.04167	16.042	16.018	16.066	19.26113	V	m15_data2/M15-2_20201018_031918_Oct0idnw_kait_V_c.fit
59140.144676	0.04167	16.518	16.484	16.552	18.62532	B	m15_data2/M15-2_20201018_032820_Oct0idsa_kait_B_c.fit
59140.145567	0.04167	16.109	16.086	16.132	19.26262	V	m15_data2/M15-2_20201018_032937_Oct0idsq_kait_V_c.fit
59140.17978	0.04167	16.637	16.596	16.678	18.28534	B	m15_data2/M15-2_20201018_041853_Oct0iepj_kait_B_c.fit
59140.180718	0.04167	16.207	16.182	16.232	19.16086	V	m15_data2/M15-2_20201018_042014_Oct0iepy_kait_V_c.fit
59140.186968	0.04167	16.552	16.523	16.581	18.91182	B	m15_data2/M15-2_20201018_042914_Oct0ieud_kait_B_c.fit
59140.18787	0.04167	16.165	16.147	16.183	19.19232	V	m15_data2/M15-2_20201018_043032_Oct0ieut_kait_V_c.fit
59140.194178	0.04167	16.597	16.557	16.637	18.90462	B	m15_data2/M15-2_20201018_043937_Oct0ieyy_kait_B_c.fit
59140.195093	0.04167	16.169	16.146	16.192	18.76079	V	m15_data2/M15-2_20201018_044056_Oct0iezo_kait_V_c.fit
59140.209468	0.04167	16.576	16.537	16.615	18.7898	B	m15_data2/M15-2_20201018_050138_Oct0ifjb_kait_B_c.fit
59140.21037	0.04167	16.192	16.174	16.21	19.22492	V	m15_data2/M15-2_20201018_050256_Oct0ifjr_kait_V_c.fit
59140.216655	0.04167	16.598	16.561	16.635	18.74156	B	m15_data2/M15-2_20201018_051159_Oct0ifnw_kait_B_c.fit
59140.217558	0.04167	16.171	16.149	16.193	18.78983	V	m15_data2/M15-2_20201018_051317_Oct0ifom_kait_V_c.fit
59140.223808	0.04167	16.605	16.569	16.641	18.85657	B	m15_data2/M15-2_20201018_052217_Oct0ifsq_kait_B_c.fit
59140.224711	0.04167	16.105	16.084	16.126	19.11499	V	m15_data2/M15-2_20201018_052335_Oct0iftf_kait_V_c.fit
59140.237894	0.04167	16.437	16.404	16.47	18.80578	B	m15_data2/M15-2_20201018_054234_Oct0igbz_kait_B_c.fit
59140.238843	0.04167	16.025	16.005	16.045	18.90729	V	m15_data2/M15-2_20201018_054356_Oct0igcp_kait_V_c.fit
59140.245162	0.04167	16.445	16.413	16.477	18.58536	B	m15_data2/M15-2_20201018_055302_Oct0iggv_kait_B_c.fit
59140.246053	0.04167	15.976	15.949	16.003	19.17877	V	m15_data2/M15-2_20201018_055419_Oct0ighk_kait_V_c.fit
59140.252338	0.04167	16.283	16.253	16.313	18.71851	B	m15_data2/M15-2_20201018_060322_Oct0iglp_kait_B_c.fit
59140.253229	0.04167	15.893	15.87	15.916	18.68282	V	m15_data2/M15-2_20201018_060439_Oct0igme_kait_V_c.fit
59140.266505	0.04167	16.069	16.039	16.099	18.39436	B	m15_data2/M15-2_20201018_062346_Oct0iguz_kait_B_c.fit
59140.267396	0.04167	15.705	15.692	15.718	18.94126	V	m15_data2/M15-2_20201018_062503_Oct0igvp_kait_V_c.fit
59140.273669	0.04167	16.026	16.002	16.05	18.55148	B	m15_data2/M15-2_20201018_063405_Oct0igzt_kait_B_c.fit
59140.27456	0.04167	15.657	15.638	15.676	18.64138	V	m15_data2/M15-2_20201018_063522_Oct0ihaj_kait_V_c.fit
59140.280938	0.04167	15.923	15.899	15.947	18.32912	B	m15_data2/M15-2_20201018_064433_Oct0iheo_kait_B_c.fit
59140.281829	0.04167	15.613	15.594	15.632	18.86329	V	m15_data2/M15-2_20201018_064550_Oct0ihfe_kait_V_c.fit
59141.106412	0.04167	15.722	15.696	15.748	18.95131	B	m15_data2/M15-2_20201019_023314_Oct0jcsp_kait_B_c.fit
59141.107303	0.04167	15.479	15.464	15.494	19.26303	V	m15_data2/M15-2_20201019_023431_Oct0jcte_kait_V_c.fit
59141.113669	0.04167	15.779	15.753	15.805	18.92355	B	m15_data2/M15-2_20201019_024341_Oct0jcxk_kait_B_c.fit
59141.11456	0.04167	15.49	15.466	15.514	19.29304	V	m15_data2/M15-2_20201019_024458_Oct0jcya_kait_V_c.fit
59141.120822	0.04167	15.802	15.774	15.83	19.06043	B	m15_data2/M15-2_20201019_025359_Oct0jdce_kait_B_c.fit
59141.121713	0.04167	15.503	15.483	15.523	19.30836	V	m15_data2/M15-2_20201019_025516_Oct0jdcu_kait_V_c.fit
59141.134884	0.04167	15.806	15.786	15.826	19.03747	B	m15_data2/M15-2_20201019_031414_Oct0jdln_kait_B_c.fit
59141.135775	0.04167	15.499	15.482	15.516	19.1687	V	m15_data2/M15-2_20201019_031531_Oct0jdmd_kait_V_c.fit
59141.142095	0.04167	15.851	15.829	15.873	19.01439	B	m15_data2/M15-2_20201019_032437_Oct0jdqi_kait_B_c.fit
59141.142986	0.04167	15.541	15.522	15.56	19.29155	V	m15_data2/M15-2_20201019_032554_Oct0jdqx_kait_V_c.fit
59141.149248	0.04167	15.852	15.831	15.873	19.04351	B	m15_data2/M15-2_20201019_033455_Oct0jdvb_kait_B_c.fit
59141.150127	0.04167	15.544	15.526	15.562	19.20788	V	m15_data2/M15-2_20201019_033611_Oct0jdvr_kait_V_c.fit
59141.164352	0.04167	15.919	15.899	15.939	18.24504	B	m15_data2/M15-2_20201019_035640_Oct0jefc_kait_B_c.fit
59141.165255	0.04167	15.626	15.601	15.651	19.2918	V	m15_data2/M15-2_20201019_035758_Oct0jefs_kait_V_c.fit
59141.171516	0.04167	15.939	15.912	15.966	19.0214	B	m15_data2/M15-2_20201019_040659_Oct0jejw_kait_B_c.fit
59141.172465	0.04167	15.651	15.636	15.666	19.28503	V	m15_data2/M15-2_20201019_040821_Oct0jekm_kait_V_c.fit
59141.17875	0.04167	15.954	15.933	15.975	19.01939	B	m15_data2/M15-2_20201019_041724_Oct0jeor_kait_B_c.fit
59141.179641	0.04167	15.661	15.648	15.674	19.07905	V	m15_data2/M15-2_20201019_041841_Oct0jeph_kait_V_c.fit
59141.192905	0.04167	15.997	15.976	16.018	18.88643	B	m15_data2/M15-2_20201019_043747_Oct0jeyc_kait_B_c.fit
59141.193808	0.04167	15.664	15.649	15.679	19.22506	V	m15_data2/M15-2_20201019_043905_Oct0jeyr_kait_V_c.fit
59141.200035	0.04167	16.028	16.002	16.054	18.94907	B	m15_data2/M15-2_20201019_044803_Oct0jfcv_kait_B_c.fit
59141.200949	0.04167	15.683	15.669	15.697	19.1796	V	m15_data2/M15-2_20201019_044922_Oct0jfdl_kait_V_c.fit
59141.207257	0.04167	16.022	15.993	16.051	18.84429	B	m15_data2/M15-2_20201019_045827_Oct0jfhq_kait_B_c.fit
59141.208148	0.04167	15.698	15.68	15.716	19.01754	V	m15_data2/M15-2_20201019_045944_Oct0jfif_kait_V_c.fit
59141.221424	0.04167	16.102	16.071	16.133	18.74172	B	m15_data2/M15-2_20201019_051851_Oct0jfrb_kait_B_c.fit
59141.222326	0.04167	15.75	15.731	15.769	19.1336	V	m15_data2/M15-2_20201019_052009_Oct0jfrq_kait_V_c.fit
