;; MJD	etburst	mag	-emag	+emag	limmag	filter	imagename
59140.133032	0.04167	16.298	16.275	16.321	18.41269	V	m15_data3/M15-3_20201018_031134_Oct0idkg_kait_V_c.fit
59140.139306	0.04167	16.635	16.591	16.679	18.52893	B	m15_data3/M15-3_20201018_032036_Oct0idol_kait_B_c.fit
59140.140208	0.04167	16.283	16.263	16.303	18.62235	V	m15_data3/M15-3_20201018_032154_Oct0idpb_kait_V_c.fit
59140.14647	0.04167	16.671	16.627	16.715	18.39823	B	m15_data3/M15-3_20201018_033055_Oct0idtf_kait_B_c.fit
59140.147361	0.04167	16.305	16.285	16.325	18.45401	V	m15_data3/M15-3_20201018_033212_Oct0idtv_kait_V_c.fit
59140.181586	0.04167	16.088	16.062	16.114	18.53725	B	m15_data3/M15-3_20201018_042129_Oct0ieqp_kait_B_c.fit
59140.182488	0.04167	15.781	15.766	15.796	18.3346	V	m15_data3/M15-3_20201018_042247_Oct0iere_kait_V_c.fit
59140.188785	0.04167	15.826	15.803	15.849	18.29884	B	m15_data3/M15-3_20201018_043151_Oct0ievj_kait_B_c.fit
59140.189688	0.04167	15.578	15.562	15.594	18.63505	V	m15_data3/M15-3_20201018_043309_Oct0ievy_kait_V_c.fit
59140.196042	0.04167	15.57	15.549	15.591	18.07013	B	m15_data3/M15-3_20201018_044218_Oct0ifad_kait_B_c.fit
59140.196933	0.04167	15.399	15.387	15.411	18.51918	V	m15_data3/M15-3_20201018_044335_Oct0ifat_kait_V_c.fit
59140.211262	0.04167	15.236	15.217	15.255	18.21458	B	m15_data3/M15-3_20201018_050413_Oct0ifkh_kait_B_c.fit
59140.212164	0.04167	15.142	15.128	15.156	18.22456	V	m15_data3/M15-3_20201018_050531_Oct0ifkw_kait_V_c.fit
59140.218449	0.04167	15.246	15.23	15.262	17.96773	B	m15_data3/M15-3_20201018_051434_Oct0ifpb_kait_B_c.fit
59140.219352	0.04167	15.127	15.114	15.14	18.49606	V	m15_data3/M15-3_20201018_051552_Oct0ifpr_kait_V_c.fit
59140.225648	0.04167	15.261	15.245	15.277	18.34726	B	m15_data3/M15-3_20201018_052456_Oct0iftv_kait_B_c.fit
59140.226516	0.04167	15.145	15.13	15.16	18.44914	V	m15_data3/M15-3_20201018_052611_Oct0iful_kait_V_c.fit
59140.239745	0.04167	15.32	15.302	15.338	17.94361	B	m15_data3/M15-3_20201018_054514_Oct0igdf_kait_B_c.fit
59140.240637	0.04167	15.176	15.161	15.191	18.33306	V	m15_data3/M15-3_20201018_054631_Oct0igdv_kait_V_c.fit
59140.246944	0.04167	15.376	15.356	15.396	18.35363	B	m15_data3/M15-3_20201018_055536_Oct0igia_kait_B_c.fit
59140.247882	0.04167	15.225	15.21	15.24	18.3597	V	m15_data3/M15-3_20201018_055657_Oct0igiq_kait_V_c.fit
59140.25412	0.04167	15.366	15.346	15.386	18.22108	B	m15_data3/M15-3_20201018_060556_Oct0igmu_kait_B_c.fit
59140.255023	0.04167	15.225	15.206	15.244	18.03528	V	m15_data3/M15-3_20201018_060714_Oct0ignj_kait_V_c.fit
59140.268275	0.04167	15.473	15.454	15.492	18.06696	B	m15_data3/M15-3_20201018_062619_Oct0igwf_kait_B_c.fit
59140.269178	0.04167	15.33	15.313	15.347	18.15842	V	m15_data3/M15-3_20201018_062737_Oct0igwu_kait_V_c.fit
59140.275463	0.04167	15.516	15.494	15.538	18.15579	B	m15_data3/M15-3_20201018_063640_Oct0ihay_kait_B_c.fit
59140.276354	0.04167	15.365	15.346	15.384	18.10337	V	m15_data3/M15-3_20201018_063757_Oct0ihbo_kait_V_c.fit
59140.282731	0.04167	15.613	15.591	15.635	18.04289	B	m15_data3/M15-3_20201018_064708_Oct0ihfu_kait_B_c.fit
59140.283623	0.04167	15.461	15.445	15.477	18.31073	V	m15_data3/M15-3_20201018_064825_Oct0ihgj_kait_V_c.fit
59141.108206	0.04167	16.635	16.592	16.678	18.51413	B	m15_data3/M15-3_20201019_023549_Oct0jctu_kait_B_c.fit
