;; MJD	etburst	mag	-emag	+emag	limmag	filter	imagename
59140.128495	0.04167	16.258	16.197	16.319	18.17677	B	m15_data1/M15-1_20201018_030502_Oct0idgv_kait_B_c.fit
59140.129387	0.04167	16.0	15.945	16.055	18.24793	V	m15_data1/M15-1_20201018_030619_Oct0idhw_kait_V_c.fit
59140.135718	0.04167	16.275	16.21	16.34	18.12102	B	m15_data1/M15-1_20201018_031526_Oct0idmb_kait_B_c.fit
59140.13662	0.04167	16.005	15.954	16.056	18.20794	V	m15_data1/M15-1_20201018_031644_Oct0idmr_kait_V_c.fit
59140.142905	0.04167	16.172	16.116	16.228	17.73776	B	m15_data1/M15-1_20201018_032547_Oct0idqw_kait_B_c.fit
59140.143773	0.04167	15.973	15.901	16.045	17.56914	V	m15_data1/M15-1_20201018_032702_Oct0idrl_kait_V_c.fit
59140.177986	0.04167	16.311	16.244	16.378	18.22138	B	m15_data1/M15-1_20201018_041618_Oct0ient_kait_B_c.fit
59140.178877	0.04167	15.743	15.682	15.804	17.46687	V	m15_data1/M15-1_20201018_041735_Oct0ieot_kait_V_c.fit
59140.185174	0.04167	16.36	16.303	16.417	18.13091	B	m15_data1/M15-1_20201018_042639_Oct0iesy_kait_B_c.fit
59140.186076	0.04167	15.956	15.901	16.011	18.04449	V	m15_data1/M15-1_20201018_042757_Oct0ieto_kait_V_c.fit
59140.192384	0.04167	16.233	16.174	16.292	18.03488	B	m15_data1/M15-1_20201018_043702_Oct0iext_kait_B_c.fit
59140.193275	0.04167	16.011	15.958	16.064	18.11576	V	m15_data1/M15-1_20201018_043819_Oct0ieyi_kait_V_c.fit
59140.207627	0.04167	16.437	16.37	16.504	18.17721	B	m15_data1/M15-1_20201018_045859_Oct0ifhs_kait_B_c.fit
59140.20853	0.04167	16.032	15.987	16.077	18.09775	V	m15_data1/M15-1_20201018_050017_Oct0ifim_kait_V_c.fit
59140.21485	0.04167	16.319	16.258	16.38	17.99161	B	m15_data1/M15-1_20201018_050923_Oct0ifmr_kait_B_c.fit
59140.215764	0.04167	15.935	15.873	15.997	17.71377	V	m15_data1/M15-1_20201018_051042_Oct0ifnh_kait_V_c.fit
59140.222037	0.04167	16.302	16.242	16.362	17.89862	B	m15_data1/M15-1_20201018_051944_Oct0ifrl_kait_B_c.fit
59140.222905	0.04167	15.956	15.897	16.015	17.90995	V	m15_data1/M15-1_20201018_052059_Oct0ifsb_kait_V_c.fit
59140.2361	0.04167	16.361	16.292	16.43	17.81433	B	m15_data1/M15-1_20201018_053959_Oct0igao_kait_B_c.fit
59140.236991	0.04167	16.046	15.987	16.105	18.10207	V	m15_data1/M15-1_20201018_054116_Oct0igbk_kait_V_c.fit
59140.243368	0.04167	16.345	16.287	16.403	18.05263	B	m15_data1/M15-1_20201018_055027_Oct0igfq_kait_B_c.fit
59140.244259	0.04167	16.009	15.959	16.059	17.97809	V	m15_data1/M15-1_20201018_055144_Oct0iggf_kait_V_c.fit
59140.250544	0.04167	16.287	16.24	16.334	18.04626	B	m15_data1/M15-1_20201018_060047_Oct0igkk_kait_B_c.fit
59140.251435	0.04167	15.937	15.888	15.986	17.99332	V	m15_data1/M15-1_20201018_060204_Oct0igkz_kait_V_c.fit
59140.264711	0.04167	16.161	16.099	16.223	17.72961	B	m15_data1/M15-1_20201018_062111_Oct0igtn_kait_B_c.fit
59140.265602	0.04167	15.755	15.705	15.805	17.64873	V	m15_data1/M15-1_20201018_062228_Oct0iguk_kait_V_c.fit
