;; MJD	etburst	mag	-emag	+emag	limmag	filter	imagename
59140.128495	0.04167	15.919	15.881	15.957	18.17677	B	m15_data1/M15-1_20201018_030502_Oct0idgv_kait_B_c.fit
59140.129387	0.04167	15.733	15.694	15.772	18.24793	V	m15_data1/M15-1_20201018_030619_Oct0idhw_kait_V_c.fit
59140.135718	0.04167	15.942	15.9	15.984	18.12102	B	m15_data1/M15-1_20201018_031526_Oct0idmb_kait_B_c.fit
59140.13662	0.04167	15.736	15.709	15.763	18.20794	V	m15_data1/M15-1_20201018_031644_Oct0idmr_kait_V_c.fit
59140.142905	0.04167	15.874	15.82	15.928	17.73776	B	m15_data1/M15-1_20201018_032547_Oct0idqw_kait_B_c.fit
59140.143773	0.04167	15.552	15.484	15.62	17.56914	V	m15_data1/M15-1_20201018_032702_Oct0idrl_kait_V_c.fit
59140.177986	0.04167	16.119	16.081	16.157	18.22138	B	m15_data1/M15-1_20201018_041618_Oct0ient_kait_B_c.fit
59140.178877	0.04167	15.649	15.597	15.701	17.46687	V	m15_data1/M15-1_20201018_041735_Oct0ieot_kait_V_c.fit
59140.185174	0.04167	16.172	16.117	16.227	18.13091	B	m15_data1/M15-1_20201018_042639_Oct0iesy_kait_B_c.fit
59140.186076	0.04167	15.781	15.738	15.824	18.04449	V	m15_data1/M15-1_20201018_042757_Oct0ieto_kait_V_c.fit
59140.192384	0.04167	16.138	16.081	16.195	18.03488	B	m15_data1/M15-1_20201018_043702_Oct0iext_kait_B_c.fit
59140.193275	0.04167	15.772	15.731	15.813	18.11576	V	m15_data1/M15-1_20201018_043819_Oct0ieyi_kait_V_c.fit
59140.207627	0.04167	16.139	16.097	16.181	18.17721	B	m15_data1/M15-1_20201018_045859_Oct0ifhs_kait_B_c.fit
59140.20853	0.04167	15.899	15.859	15.939	18.09775	V	m15_data1/M15-1_20201018_050017_Oct0ifim_kait_V_c.fit
59140.21485	0.04167	16.139	16.091	16.187	17.99161	B	m15_data1/M15-1_20201018_050923_Oct0ifmr_kait_B_c.fit
59140.215764	0.04167	15.725	15.676	15.774	17.71377	V	m15_data1/M15-1_20201018_051042_Oct0ifnh_kait_V_c.fit
59140.222037	0.04167	16.156	16.102	16.21	17.89862	B	m15_data1/M15-1_20201018_051944_Oct0ifrl_kait_B_c.fit
59140.222905	0.04167	15.802	15.75	15.854	17.90995	V	m15_data1/M15-1_20201018_052059_Oct0ifsb_kait_V_c.fit
59140.2361	0.04167	16.167	16.112	16.222	17.81433	B	m15_data1/M15-1_20201018_053959_Oct0igao_kait_B_c.fit
59140.236991	0.04167	15.859	15.815	15.903	18.10207	V	m15_data1/M15-1_20201018_054116_Oct0igbk_kait_V_c.fit
59140.243368	0.04167	16.163	16.122	16.204	18.05263	B	m15_data1/M15-1_20201018_055027_Oct0igfq_kait_B_c.fit
59140.244259	0.04167	15.85	15.807	15.893	17.97809	V	m15_data1/M15-1_20201018_055144_Oct0iggf_kait_V_c.fit
59140.250544	0.04167	16.336	16.28	16.392	18.04626	B	m15_data1/M15-1_20201018_060047_Oct0igkk_kait_B_c.fit
59140.251435	0.04167	15.832	15.778	15.886	17.99332	V	m15_data1/M15-1_20201018_060204_Oct0igkz_kait_V_c.fit
59140.264711	0.04167	16.234	16.169	16.299	17.72961	B	m15_data1/M15-1_20201018_062111_Oct0igtn_kait_B_c.fit
59140.265602	0.04167	15.826	15.777	15.875	17.64873	V	m15_data1/M15-1_20201018_062228_Oct0iguk_kait_V_c.fit
59140.271875	0.04167	16.153	16.096	16.21	17.81546	B	m15_data1/M15-1_20201018_063130_Oct0igyo_kait_B_c.fit
59140.272766	0.04167	15.755	15.694	15.816	17.43094	V	m15_data1/M15-1_20201018_063247_Oct0igze_kait_V_c.fit
59140.279062	0.04167	16.583	16.477	16.689	17.24295	B	m15_data1/M15-1_20201018_064151_Oct0ihdi_kait_B_c.fit
59140.279988	0.04167	15.756	15.698	15.814	17.44751	V	m15_data1/M15-1_20201018_064311_Oct0ihdz_kait_V_c.fit
59141.104618	0.04167	16.121	16.072	16.17	18.05749	B	m15_data1/M15-1_20201019_023039_Oct0jcrb_kait_B_c.fit
59141.105509	0.04167	15.896	15.863	15.929	18.18317	V	m15_data1/M15-1_20201019_023156_Oct0jcrz_kait_V_c.fit
59141.111829	0.04167	16.169	16.128	16.21	18.15265	B	m15_data1/M15-1_20201019_024102_Oct0jcwf_kait_B_c.fit
59141.11272	0.04167	15.887	15.851	15.923	18.18649	V	m15_data1/M15-1_20201019_024219_Oct0jcwu_kait_V_c.fit
59141.119016	0.04167	16.131	16.084	16.178	18.17929	B	m15_data1/M15-1_20201019_025123_Oct0jdaz_kait_B_c.fit
59141.119919	0.04167	15.834	15.802	15.866	18.22601	V	m15_data1/M15-1_20201019_025241_Oct0jdbo_kait_V_c.fit
59141.133102	0.04167	16.002	15.965	16.039	18.21371	B	m15_data1/M15-1_20201019_031140_Oct0jdkd_kait_B_c.fit
59141.13397	0.04167	15.664	15.625	15.703	17.88419	V	m15_data1/M15-1_20201019_031255_Oct0jdky_kait_V_c.fit
59141.140301	0.04167	15.922	15.887	15.957	18.23259	B	m15_data1/M15-1_20201019_032202_Oct0jdpd_kait_B_c.fit
59141.141204	0.04167	15.622	15.583	15.661	17.83054	V	m15_data1/M15-1_20201019_032320_Oct0jdps_kait_V_c.fit
59141.147477	0.04167	15.911	15.877	15.945	18.16001	B	m15_data1/M15-1_20201019_033222_Oct0jdtx_kait_B_c.fit
59141.148345	0.04167	15.463	15.411	15.515	17.6227	V	m15_data1/M15-1_20201019_033337_Oct0jdum_kait_V_c.fit
59141.162558	0.04167	15.875	15.836	15.914	18.14166	B	m15_data1/M15-1_20201019_035405_Oct0jedu_kait_B_c.fit
59141.163461	0.04167	15.56	15.527	15.593	17.92344	V	m15_data1/M15-1_20201019_035523_Oct0jeen_kait_V_c.fit
59141.169745	0.04167	15.708	15.669	15.747	17.8634	B	m15_data1/M15-1_20201019_040426_Oct0jeis_kait_B_c.fit
59141.170613	0.04167	15.544	15.517	15.571	18.18523	V	m15_data1/M15-1_20201019_040541_Oct0jejh_kait_V_c.fit
59141.176956	0.04167	16.678	16.541	16.815	17.50373	B	m15_data1/M15-1_20201019_041449_Oct0jenm_kait_B_c.fit
59141.177847	0.04167	15.522	15.487	15.557	17.92414	V	m15_data1/M15-1_20201019_041606_Oct0jeob_kait_V_c.fit
59141.191042	0.04167	15.607	15.558	15.656	17.33806	B	m15_data1/M15-1_20201019_043506_Oct0jewp_kait_B_c.fit
59141.192014	0.04167	15.433	15.404	15.462	17.87583	V	m15_data1/M15-1_20201019_043630_Oct0jexl_kait_V_c.fit
59141.198241	0.04167	15.682	15.644	15.72	17.8872	B	m15_data1/M15-1_20201019_044528_Oct0jfbq_kait_B_c.fit
59141.199144	0.04167	15.472	15.442	15.502	18.02116	V	m15_data1/M15-1_20201019_044646_Oct0jfcf_kait_V_c.fit
59141.20544	0.04167	15.633	15.587	15.679	17.91455	B	m15_data1/M15-1_20201019_045550_Oct0jfgk_kait_B_c.fit
59141.206331	0.04167	15.41	15.372	15.448	17.9011	V	m15_data1/M15-1_20201019_045707_Oct0jfha_kait_V_c.fit
