;; MJD	etburst	mag	-emag	+emag	limmag	filter	imagename
59140.131181	0.04167	15.706	15.686	15.726	18.54478	V	m15_data2/M15-2_20201018_030854_Oct0idjb_kait_V_c.fit
59140.137512	0.04167	16.059	16.033	16.085	18.69784	B	m15_data2/M15-2_20201018_031801_Oct0idnh_kait_B_c.fit
59140.138403	0.04167	15.765	15.749	15.781	19.03392	V	m15_data2/M15-2_20201018_031918_Oct0idnw_kait_V_c.fit
59140.144676	0.04167	16.025	15.997	16.053	18.41563	B	m15_data2/M15-2_20201018_032820_Oct0idsa_kait_B_c.fit
59140.145567	0.04167	15.755	15.736	15.774	19.09196	V	m15_data2/M15-2_20201018_032937_Oct0idsq_kait_V_c.fit
59140.17978	0.04167	15.908	15.884	15.932	18.07204	B	m15_data2/M15-2_20201018_041853_Oct0iepj_kait_B_c.fit
59140.180718	0.04167	15.692	15.677	15.707	18.92468	V	m15_data2/M15-2_20201018_042014_Oct0iepy_kait_V_c.fit
59140.186968	0.04167	15.925	15.901	15.949	18.71656	B	m15_data2/M15-2_20201018_042914_Oct0ieud_kait_B_c.fit
59140.18787	0.04167	15.666	15.651	15.681	18.90618	V	m15_data2/M15-2_20201018_043032_Oct0ieut_kait_V_c.fit
59140.194178	0.04167	15.912	15.89	15.934	18.77787	B	m15_data2/M15-2_20201018_043937_Oct0ieyy_kait_B_c.fit
59140.195093	0.04167	15.691	15.677	15.705	18.36311	V	m15_data2/M15-2_20201018_044056_Oct0iezo_kait_V_c.fit
59140.209468	0.04167	15.939	15.917	15.961	18.63732	B	m15_data2/M15-2_20201018_050138_Oct0ifjb_kait_B_c.fit
59140.21037	0.04167	15.725	15.708	15.742	18.90891	V	m15_data2/M15-2_20201018_050256_Oct0ifjr_kait_V_c.fit
59140.216655	0.04167	16.0	15.972	16.028	18.62013	B	m15_data2/M15-2_20201018_051159_Oct0ifnw_kait_B_c.fit
59140.217558	0.04167	15.732	15.717	15.747	18.48639	V	m15_data2/M15-2_20201018_051317_Oct0ifom_kait_V_c.fit
