;; MJD	etburst	mag	-emag	+emag	limmag	filter	imagename
59140.128495	0.04167	16.003	15.97	16.036	18.26165	B	m15_data1/M15-1_20201018_030502_Oct0idgv_kait_B_c.fit
59140.129387	0.04167	15.766	15.744	15.788	18.41546	V	m15_data1/M15-1_20201018_030619_Oct0idhw_kait_V_c.fit
59140.135718	0.04167	16.002	15.968	16.036	18.1934	B	m15_data1/M15-1_20201018_031526_Oct0idmb_kait_B_c.fit
59140.13662	0.04167	15.765	15.739	15.791	18.3829	V	m15_data1/M15-1_20201018_031644_Oct0idmr_kait_V_c.fit
59140.142905	0.04167	15.945	15.903	15.987	17.77625	B	m15_data1/M15-1_20201018_032547_Oct0idqw_kait_B_c.fit
59140.143773	0.04167	15.699	15.672	15.726	17.64628	V	m15_data1/M15-1_20201018_032702_Oct0idrl_kait_V_c.fit
59140.177986	0.04167	16.075	16.044	16.106	18.23938	B	m15_data1/M15-1_20201018_041618_Oct0ient_kait_B_c.fit
59140.178877	0.04167	15.722	15.693	15.751	17.51598	V	m15_data1/M15-1_20201018_041735_Oct0ieot_kait_V_c.fit
59140.185174	0.04167	16.042	16.012	16.072	18.23153	B	m15_data1/M15-1_20201018_042639_Oct0iesy_kait_B_c.fit
59140.186076	0.04167	15.76	15.734	15.786	18.12013	V	m15_data1/M15-1_20201018_042757_Oct0ieto_kait_V_c.fit
59140.192384	0.04167	16.037	16.006	16.068	18.06069	B	m15_data1/M15-1_20201018_043702_Oct0iext_kait_B_c.fit
59140.193275	0.04167	15.783	15.761	15.805	18.22468	V	m15_data1/M15-1_20201018_043819_Oct0ieyi_kait_V_c.fit
59140.207627	0.04167	16.114	16.081	16.147	18.19841	B	m15_data1/M15-1_20201018_045859_Oct0ifhs_kait_B_c.fit
59140.20853	0.04167	15.814	15.793	15.835	18.28976	V	m15_data1/M15-1_20201018_050017_Oct0ifim_kait_V_c.fit
59140.21485	0.04167	16.058	16.02	16.096	18.00793	B	m15_data1/M15-1_20201018_050923_Oct0ifmr_kait_B_c.fit
