;; MJD	etburst	mag	-emag	+emag	limmag	filter	imagename
59140.134826	0.04167	15.535	15.508	15.562	18.94188	V	m15_data4/M15-4_20201018_031409_Oct0idlm_kait_V_c.fit
59140.141111	0.04167	15.893	15.87	15.916	18.73817	B	m15_data4/M15-4_20201018_032312_Oct0idpr_kait_B_c.fit
59140.142002	0.04167	15.566	15.535	15.597	18.9775	V	m15_data4/M15-4_20201018_032429_Oct0idqg_kait_V_c.fit
59140.14831	0.04167	15.93	15.9	15.96	18.5816	B	m15_data4/M15-4_20201018_033334_Oct0iduk_kait_B_c.fit
59140.14919	0.04167	15.571	15.535	15.607	18.84123	V	m15_data4/M15-4_20201018_033450_Oct0idvb_kait_V_c.fit
59140.183391	0.04167	15.987	15.953	16.021	18.80417	B	m15_data4/M15-4_20201018_042405_Oct0iert_kait_B_c.fit
59140.184282	0.04167	15.594	15.563	15.625	18.99939	V	m15_data4/M15-4_20201018_042522_Oct0iesj_kait_V_c.fit
59140.190579	0.04167	15.988	15.96	16.016	18.58332	B	m15_data4/M15-4_20201018_043426_Oct0iewn_kait_B_c.fit
59140.191481	0.04167	15.614	15.584	15.644	18.71255	V	m15_data4/M15-4_20201018_043544_Oct0iexd_kait_V_c.fit
59140.197801	0.04167	16.006	15.976	16.036	18.32198	B	m15_data4/M15-4_20201018_044450_Oct0ifbj_kait_B_c.fit
59140.198704	0.04167	15.599	15.567	15.631	18.84841	V	m15_data4/M15-4_20201018_044608_Oct0ifby_kait_V_c.fit
59140.213056	0.04167	16.01	15.981	16.039	18.35501	B	m15_data4/M15-4_20201018_050648_Oct0iflm_kait_B_c.fit
59140.213947	0.04167	15.625	15.594	15.656	18.93233	V	m15_data4/M15-4_20201018_050805_Oct0ifmb_kait_V_c.fit
59140.220243	0.04167	16.052	16.017	16.087	18.71002	B	m15_data4/M15-4_20201018_051709_Oct0ifqg_kait_B_c.fit
59140.221146	0.04167	15.641	15.612	15.67	18.98315	V	m15_data4/M15-4_20201018_051827_Oct0ifqw_kait_V_c.fit
59140.227454	0.04167	16.06	16.022	16.098	18.59583	B	m15_data4/M15-4_20201018_052732_Oct0ifvb_kait_B_c.fit
59140.228345	0.04167	15.635	15.603	15.667	18.84055	V	m15_data4/M15-4_20201018_052849_Oct0ifvq_kait_V_c.fit
59140.241574	0.04167	16.12	16.083	16.157	18.7227	B	m15_data4/M15-4_20201018_054752_Oct0igel_kait_B_c.fit
59140.242465	0.04167	15.636	15.606	15.666	18.7807	V	m15_data4/M15-4_20201018_054909_Oct0igfa_kait_V_c.fit
59140.248773	0.04167	16.071	16.033	16.109	18.468	B	m15_data4/M15-4_20201018_055814_Oct0igjf_kait_B_c.fit
59140.249641	0.04167	15.664	15.632	15.696	18.88708	V	m15_data4/M15-4_20201018_055929_Oct0igjv_kait_V_c.fit
59140.255972	0.04167	16.098	16.065	16.131	18.50402	B	m15_data4/M15-4_20201018_060836_Oct0ignz_kait_B_c.fit
59140.256863	0.04167	15.685	15.651	15.719	18.78519	V	m15_data4/M15-4_20201018_060953_Oct0igop_kait_V_c.fit
59140.270069	0.04167	16.14	16.105	16.175	18.40306	B	m15_data4/M15-4_20201018_062854_Oct0igxj_kait_B_c.fit
59140.270972	0.04167	15.709	15.678	15.74	18.75251	V	m15_data4/M15-4_20201018_063012_Oct0igxz_kait_V_c.fit
59140.277257	0.04167	16.115	16.078	16.152	18.19816	B	m15_data4/M15-4_20201018_063915_Oct0ihcd_kait_B_c.fit
