Title: BV Photometry Of The RR Lyrae Variables Of The Globular Cluster M3  
Authors: Corwin T.M., Carney B.W. 
Table: B and V Photometry of the Variable Stars
================================================================================
Byte-by-byte Description of file: datafile2.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label  Explanations
--------------------------------------------------------------------------------
   1-  4 A4     ---   Name   Variable name
   6- 16 F11.3  d     JD     Julian date of observation
      18 A1     ---   Filt   Filter used 
  20- 25 F6.3   mag   Mag    ? Observed magnitude in Filt
--------------------------------------------------------------------------------
name JD filter mag
v3   2448755.844 B 16.274
v3   2448755.858 B 16.269
v3   2448755.886 B 16.291
v3   2448755.900 B 16.296
v3   2448755.913 B 16.312
v3   2448755.927 B 16.346
v3   2448755.942 B 16.446
v3   2448756.662 B 15.449
v3   2448756.676 B 15.558
v3   2448756.708 B 15.658
v3   2448756.722 B 15.770
v3   2448756.753 B 15.859
v3   2448756.767 B 15.944
v3   2448756.781 B 15.960
v3   2448756.795 B 16.019
v3   2448756.810 B 16.086
v3   2448756.825 B 16.128
v3   2448756.840 B 16.171
v3   2448756.853 B 16.211
v3   2448756.867 B 16.245
v3   2448756.881 B 16.242
v3   2448756.895 B 16.250
v3   2448756.910 B 16.240
v3   2448756.925 B 16.233
v3   2448756.939 B 16.271
v3   2448757.639 B 16.351
v3   2448757.654 B 16.120
v3   2448757.763 B 15.347
v3   2448757.777 B 15.429
v3   2448757.830 B 15.658
v3   2448757.872 B 15.876
v3   2448757.886 B 16.070
v3   2448757.900 B 16.000
v3   2448757.914 B 16.086
v3   2448757.939 B 16.116
v3   2448757.942 B 16.153
v3   2448758.663 B 16.314
v3   2448758.678 B 16.332
v3   2448758.705 B 16.311
v3   2448758.719 B 16.329
v3   2448758.755 B 16.364
v3   2448758.780 B 15.825
v3   2448758.799 B 15.185
v3   2448758.830 B 15.046
v3   2448758.848 B 15.136
v3   2448758.878 B 15.333
v3   2448758.898 B 15.463
v3   2448758.918 B 15.541
v3   2448758.938 B 15.642
v3   2448759.759 B 16.268
v3   2448759.789 B 16.265
v3   2448759.803 B 16.274
v3   2448759.817 B 16.308
v3   2448759.836 B 16.363
v3   2448759.850 B 16.373
v3   2448759.865 B 16.369
v3   2448759.878 B 16.253
v3   2448759.892 B 15.965
v3   2448759.907 B 15.547
v3   2448759.921 B 15.227
v3   2448759.935 B 15.018
v3   2448760.662 B 15.841
v3   2448760.686 B 15.928
v3   2448760.709 B 16.006
v3   2448760.723 B 16.085
v3   2448760.737 B 16.162
v3   2448760.752 B 16.211
v3   2448760.766 B 16.195
v3   2448760.780 B 16.244
v3   2448760.799 B 16.205
v3   2448760.824 B 16.286
v3   2448760.839 B 16.247
v3   2448760.858 B 16.241
v3   2448760.872 B 16.268
