,MJD,O-C,O-C err
0,13785.600000000093,0.2406,0.0144
1,15038.5,0.175,0.0141
2,20259.399999999907,0.0132,0.0046
3,22753.600000000093,-0.0557,0.002
4,24463.100000000093,-0.0877,0.0018
5,29513.100000000093,-0.155,0.0016
6,32164.799999999814,-0.1749,0.0021
7,33489.39999999991,-0.1922,0.0026
8,34328.700000000186,-0.1861,0.0017
9,35561.39999999991,-0.1806,0.0015
10,36769.10000000009,-0.1736,0.0022
11,38103.0,-0.1767,0.0028
12,43024.700000000186,-0.1193,0.0014
13,43920.299999999814,-0.1066,0.0023
14,47605.60000000009,-0.0341,0.0017
15,48927.39999999991,-0.0011,0.0003
16,50171.0,0.0392,0.0008
17,51032.799999999814,0.0616,0.0006
18,54930.700000000186,0.1933,0.0006
19,59321.89080645162,0.1445699181434477,0.004526571363113017
