,MJD,O-C,O-C err
0,13804.0,0.079,0.0115
1,15042.100000000093,0.0659,0.0058
2,22751.0,-0.0223,0.001
3,24525.899999999907,-0.0411,0.0009
4,29713.600000000093,-0.0769,0.0017
5,33487.799999999814,-0.0922,0.0021
6,34335.5,-0.0858,0.001
7,35565.700000000186,-0.0846,0.0011
8,36772.89999999991,-0.0779,0.0016
9,38115.89999999991,-0.0769,0.0022
10,43044.10000000009,-0.0491,0.0025
11,43920.299999999814,-0.0477,0.0017
12,47746.5,-0.013,0.001
13,48956.799999999814,-0.0001,0.0002
14,50969.299999999814,0.0231,0.0003
15,54929.299999999814,0.0823,0.0004
16,59330.3248358125,0.16806207493665837,0.00108680295411839
