,MJD,O-C,O-C err
0,13804.0,0.0407,0.018
1,15042.100000000093,-0.0132,0.0168
2,22751.799999999814,-0.3481,0.0036
3,24481.700000000186,-0.3598,0.0021
4,29713.600000000093,-0.202,0.0066
5,33486.200000000186,0.0519,0.0037
6,34321.5,0.0543,0.0022
7,35568.799999999814,-0.0281,0.0028
8,36776.700000000186,-0.1511,0.0028
9,38103.0,-0.2684,0.0068
10,43042.200000000186,-0.1674,0.0026
11,43834.10000000009,-0.0882,0.0043
12,47554.200000000186,0.0565,0.0036
13,48939.0,0.0001,0.002
14,50170.89999999991,-0.0379,0.0009
15,50947.10000000009,-0.1218,0.001
16,54931.60000000009,-0.5757,0.0005
17,59320.6245961698,-0.255208540716108,0.0009069562797223472
