,MJD,O-C,O-C err
0,13804.0,0.0092,0.0176
1,15042.100000000093,0.0027,0.0044
2,20307.100000000093,0.0089,0.0016
3,22753.399999999907,0.0093,0.0013
4,24517.600000000093,0.0114,0.0006
5,29511.799999999814,0.0074,0.0009
6,32164.799999999814,0.0077,0.0022
7,33486.200000000186,0.0095,0.001
8,34327.5,0.0073,0.0009
9,35572.60000000009,0.0089,0.0006
10,36780.0,0.0123,0.001
11,38086.299999999814,0.0071,0.0015
12,43042.200000000186,0.0057,0.0015
13,43907.0,0.0079,0.0022
14,47509.799999999814,0.0042,0.0012
15,48939.0,0.0001,0.0002
16,50170.89999999991,0.0042,0.0007
17,50950.200000000186,0.0016,0.0003
18,54928.89999999991,-0.0044,0.0005
19,59311.324060621635,-0.0076039874372836646,0.0006979395737054557
