,MJD,O-C,O-C err
0,13804.0,-0.2474,0.0128
1,15044.700000000186,-0.1843,0.0059
2,22750.700000000186,0.0764,0.0011
3,24470.799999999814,0.1268,0.0011
4,29736.899999999907,0.2083,0.0029
5,33486.200000000186,0.2356,0.002
6,34317.799999999814,0.2423,0.001
7,35559.0,0.2478,0.0015
8,36772.700000000186,0.2446,0.0017
9,38060.700000000186,0.2262,0.0035
10,43042.200000000186,0.1603,0.0018
11,43912.700000000186,0.1812,0.0059
12,47505.200000000186,0.045,0.0022
13,48939.0,0.0001,0.0005
14,50170.89999999991,-0.0403,0.001
15,50964.60000000009,-0.067,0.0003
16,54929.0,-0.2271,0.0005
17,59310.444709725,-0.4585491708534162,0.0020982887987930233
