,MJD,O-C,O-C err
0,13820.5,0.0044,0.0187
1,15073.799999999814,-0.0124,0.0045
2,22759.700000000186,0.0078,0.0012
3,24515.5,0.01,0.0027
4,42968.200000000186,0.0047,0.0037
5,43902.60000000009,0.0077,0.0039
6,47554.200000000186,-0.0095,0.0092
7,48940.0,0.0,0.0003
8,50964.89999999991,-0.0157,0.0006
9,54938.10000000009,-0.0277,0.0008
10,59319.323768333335,0.006399205155984914,0.0009223282312484024
