,MJD,O-C,O-C err
0,13822.0,-0.0534,0.0092
1,15076.799999999814,-0.0486,0.0077
2,22757.0,-0.0184,0.0018
3,24515.399999999907,-0.0209,0.0019
4,29713.600000000093,0.0012,0.0023
5,33500.39999999991,0.0044,0.0029
6,34229.0,-0.0046,0.003
7,35516.39999999991,-0.0042,0.0021
8,37029.89999999991,0.0061,0.0067
9,37791.5,-0.0462,0.0081
10,42940.799999999814,0.0157,0.0032
11,43912.799999999814,0.0282,0.0026
12,47519.5,0.0084,0.0021
13,48939.0,0.0,0.0005
14,50965.299999999814,-0.0206,0.0005
15,54931.39999999991,-0.0774,0.0009
16,59310.444709725,-0.16249570440583355,0.003991517653385145
