;; MJD	etburst	mag	-emag	+emag	limmag	filter	imagename
59295.497396	0.04167	15.696	15.67	15.722	18.41638	R	m3/M3-2_20210322_115615_Mar1mmsm_kait_R_c.fit
59295.498299	0.04167	15.449	15.418	15.48	17.68202	I	m3/M3-2_20210322_115733_Mar1mmtb_kait_I_c.fit
59295.500093	0.04167	16.12	16.085	16.155	18.16994	B	m3/M3-2_20210322_120008_Mar1mmuf_kait_B_c.fit
59295.500961	0.04167	15.869	15.843	15.895	18.25438	V	m3/M3-2_20210322_120123_Mar1mmuv_kait_V_c.fit
59295.501817	0.04167	15.639	15.618	15.66	18.13896	R	m3/M3-2_20210322_120237_Mar1mmvk_kait_R_c.fit
59295.502708	0.04167	15.423	15.397	15.449	17.6596	I	m3/M3-2_20210322_120354_Mar1mmvz_kait_I_c.fit
59295.504433	0.04167	16.049	16.017	16.081	18.08949	B	m3/M3-2_20210322_120623_Mar1mmxe_kait_B_c.fit
59295.505336	0.04167	15.861	15.832	15.89	18.15216	V	m3/M3-2_20210322_120741_Mar1mmxs_kait_V_c.fit
59295.506181	0.04167	15.627	15.603	15.651	18.06393	R	m3/M3-2_20210322_120854_Mar1mmyi_kait_R_c.fit
59295.50706	0.04167	15.437	15.411	15.463	17.49978	I	m3/M3-2_20210322_121010_Mar1mmyx_kait_I_c.fit
59308.553935	0.04167	15.119	14.89	15.348	14.48381	V	m3/M3-2_20210404_131740_Apr14oea_kait_V_c.fit
59316.483553	0.04167	16.179	16.141	16.217	17.93855	B	m3/M3-2_20210412_113619_Apr1cmjh_kait_B_c.fit
59316.484444	0.04167	15.861	15.842	15.88	17.95199	V	m3/M3-2_20210412_113736_Apr1cmjw_kait_V_c.fit
59316.485301	0.04167	15.621	15.603	15.639	17.89385	R	m3/M3-2_20210412_113850_Apr1cmkl_kait_R_c.fit
59316.486192	0.04167	15.364	15.34	15.388	17.58892	I	m3/M3-2_20210412_114007_Apr1cmla_kait_I_c.fit
59316.487928	0.04167	16.183	16.137	16.229	17.75776	B	m3/M3-2_20210412_114237_Apr1cmme_kait_B_c.fit
59316.488819	0.04167	15.866	15.843	15.889	18.11475	V	m3/M3-2_20210412_114354_Apr1cmmt_kait_V_c.fit
59316.489664	0.04167	15.636	15.619	15.653	18.04404	R	m3/M3-2_20210412_114507_Apr1cmnj_kait_R_c.fit
59316.49059	0.04167	15.339	15.319	15.359	17.64359	I	m3/M3-2_20210412_114627_Apr1cmny_kait_I_c.fit
59316.492315	0.04167	16.232	16.187	16.277	17.82145	B	m3/M3-2_20210412_114856_Apr1cmpc_kait_B_c.fit
59316.493206	0.04167	15.923	15.897	15.949	18.04596	V	m3/M3-2_20210412_115013_Apr1cmpr_kait_V_c.fit
59316.494062	0.04167	15.648	15.63	15.666	17.87203	R	m3/M3-2_20210412_115127_Apr1cmqg_kait_R_c.fit
59316.494954	0.04167	15.324	15.301	15.347	17.54066	I	m3/M3-2_20210412_115244_Apr1cmqv_kait_I_c.fit
59318.466019	0.04167	15.953	15.916	15.99	17.68915	B	m3/M3-2_20210414_111104_Apr1elxq_kait_B_c.fit
59318.46691	0.04167	15.766	15.747	15.785	17.93933	V	m3/M3-2_20210414_111221_Apr1elyf_kait_V_c.fit
59318.467766	0.04167	15.536	15.522	15.55	17.83081	R	m3/M3-2_20210414_111335_Apr1elyu_kait_R_c.fit
59318.468657	0.04167	15.258	15.234	15.282	17.32841	I	m3/M3-2_20210414_111452_Apr1elzj_kait_I_c.fit
59318.470382	0.04167	15.935	15.902	15.968	17.66188	B	m3/M3-2_20210414_111721_Apr1eman_kait_B_c.fit
59318.471285	0.04167	15.82	15.801	15.839	17.87714	V	m3/M3-2_20210414_111839_Apr1embd_kait_V_c.fit
59318.472141	0.04167	15.54	15.522	15.558	17.70706	R	m3/M3-2_20210414_111953_Apr1embs_kait_R_c.fit
59318.473044	0.04167	15.283	15.265	15.301	17.34964	I	m3/M3-2_20210414_112111_Apr1emch_kait_I_c.fit
59318.474745	0.04167	16.027	15.982	16.072	17.57723	B	m3/M3-2_20210414_112338_Apr1emdl_kait_B_c.fit
59318.475637	0.04167	15.767	15.744	15.79	17.67904	V	m3/M3-2_20210414_112455_Apr1emdz_kait_V_c.fit
59318.476493	0.04167	15.542	15.525	15.559	17.75509	R	m3/M3-2_20210414_112609_Apr1emep_kait_R_c.fit
59318.477384	0.04167	15.278	15.255	15.301	17.38571	I	m3/M3-2_20210414_112726_Apr1emfd_kait_I_c.fit
59326.45287	0.04167	15.41	15.384	15.436	17.66639	B	m3/M3-2_20210422_105208_Apr1mlox_kait_B_c.fit
59326.453773	0.04167	15.334	15.319	15.349	17.98866	V	m3/M3-2_20210422_105326_Apr1mlpl_kait_V_c.fit
59326.454618	0.04167	15.174	15.161	15.187	18.07222	R	m3/M3-2_20210422_105439_Apr1mlqb_kait_R_c.fit
59326.455486	0.04167	15.055	15.034	15.076	17.46295	I	m3/M3-2_20210422_105554_Apr1mlqq_kait_I_c.fit
59326.457211	0.04167	15.471	15.445	15.497	17.67695	B	m3/M3-2_20210422_105823_Apr1mlru_kait_B_c.fit
59339.394676	0.04167	16.143	16.108	16.178	17.97859	B	m3/M3-2_20210505_092820_May15kce_kait_B_c.fit
59339.395567	0.04167	15.901	15.881	15.921	18.17328	V	m3/M3-2_20210505_092937_May15kcu_kait_V_c.fit
59339.396424	0.04167	15.668	15.651	15.685	18.09326	R	m3/M3-2_20210505_093051_May15kdj_kait_R_c.fit
59339.397326	0.04167	15.388	15.366	15.41	17.63404	I	m3/M3-2_20210505_093209_May15kdy_kait_I_c.fit
59339.399051	0.04167	16.184	16.145	16.223	17.95808	B	m3/M3-2_20210505_093438_May15kfd_kait_B_c.fit
59339.399942	0.04167	15.868	15.846	15.89	18.19706	V	m3/M3-2_20210505_093555_May15kfr_kait_V_c.fit
59339.400799	0.04167	15.655	15.639	15.671	18.13666	R	m3/M3-2_20210505_093709_May15kgh_kait_R_c.fit
59339.40169	0.04167	15.342	15.322	15.362	17.70451	I	m3/M3-2_20210505_093826_May15kgw_kait_I_c.fit
59339.403391	0.04167	16.109	16.075	16.143	18.02679	B	m3/M3-2_20210505_094053_May15kia_kait_B_c.fit
59339.404282	0.04167	15.869	15.845	15.893	18.21969	V	m3/M3-2_20210505_094210_May15kio_kait_V_c.fit
59339.405104	0.04167	15.628	15.61	15.646	18.1873	R	m3/M3-2_20210505_094321_May15kje_kait_R_c.fit
59339.406007	0.04167	15.323	15.304	15.342	17.75953	I	m3/M3-2_20210505_094439_May15kjs_kait_I_c.fit
59340.381076	0.04167	16.117	16.084	16.15	18.34042	B	m3/M3-2_20210506_090845_May16jte_kait_B_c.fit
59340.381979	0.04167	15.863	15.842	15.884	18.40421	V	m3/M3-2_20210506_091003_May16jtt_kait_V_c.fit
59340.382824	0.04167	15.654	15.639	15.669	18.07626	R	m3/M3-2_20210506_091116_May16jui_kait_R_c.fit
59340.383704	0.04167	15.391	15.371	15.411	17.64105	I	m3/M3-2_20210506_091232_May16jux_kait_I_c.fit
59340.385498	0.04167	16.16	16.125	16.195	18.09574	B	m3/M3-2_20210506_091507_May16jwc_kait_B_c.fit
59340.386389	0.04167	15.84	15.821	15.859	18.32323	V	m3/M3-2_20210506_091624_May16jwr_kait_V_c.fit
59340.38728	0.04167	15.624	15.609	15.639	17.953	R	m3/M3-2_20210506_091741_May16jxh_kait_R_c.fit
