;; MJD	etburst	mag	-emag	+emag	limmag	filter	imagename
59295.522801	0.04167	14.208	14.188	14.228	17.68464	V	m3_data/M3-4_20210322_123250_Mar1mnji_kait_V_c.fit
59295.523657	0.04167	13.662	13.647	13.677	17.61102	R	m3_data/M3-4_20210322_123404_Mar1mnjy_kait_R_c.fit
59295.524549	0.04167	13.112	13.095	13.129	17.06602	I	m3_data/M3-4_20210322_123521_Mar1mnkn_kait_I_c.fit
59295.526273	0.04167	14.934	14.901	14.967	17.63091	B	m3_data/M3-4_20210322_123750_Mar1mnlr_kait_B_c.fit
59295.527164	0.04167	14.175	14.154	14.196	17.70286	V	m3_data/M3-4_20210322_123907_Mar1mnmg_kait_V_c.fit
59295.528924	0.04167	13.101	13.084	13.118	17.06937	I	m3_data/M3-4_20210322_124139_Mar1mnnk_kait_I_c.fit
59295.530648	0.04167	14.93	14.9	14.96	17.5661	B	m3_data/M3-4_20210322_124408_Mar1mnop_kait_B_c.fit
59295.531539	0.04167	14.178	14.157	14.199	17.57277	V	m3_data/M3-4_20210322_124525_Mar1mnpd_kait_V_c.fit
59295.532396	0.04167	13.663	13.645	13.681	17.41387	R	m3_data/M3-4_20210322_124639_Mar1mnpt_kait_R_c.fit
59295.533287	0.04167	13.124	13.106	13.142	16.89312	I	m3_data/M3-4_20210322_124756_Mar1mnqi_kait_I_c.fit
59300.3686	0.04167	13.104	13.088	13.12	16.97186	I	m3_data/M3-4_20210327_085047_Mar1rjkw_kait_I_c.fit
59300.374699	0.04167	14.972	14.941	15.003	17.74564	B	m3_data/M3-4_20210327_085934_Mar1rjoy_kait_B_c.fit
59302.497454	0.04167	15.747	15.599	15.895	16.27815	B	m3_data/M3-4_20210329_115620_Mar1tmsn_kait_B_c.fit
59302.498345	0.04167	14.711	14.638	14.784	15.90531	V	m3_data/M3-4_20210329_115737_Mar1tmtc_kait_V_c.fit
59302.499201	0.04167	14.238	14.165	14.311	15.77195	R	m3_data/M3-4_20210329_115851_Mar1tmtr_kait_R_c.fit
59302.500093	0.04167	13.578	13.524	13.632	15.1671	I	m3_data/M3-4_20210329_120008_Mar1tmug_kait_I_c.fit
59302.501829	0.04167	15.82	15.653	15.987	16.21475	B	m3_data/M3-4_20210329_120238_Mar1tmvl_kait_B_c.fit
59302.50272	0.04167	14.779	14.709	14.849	15.96789	V	m3_data/M3-4_20210329_120355_Mar1tmvz_kait_V_c.fit
59302.503576	0.04167	14.154	14.091	14.217	15.67536	R	m3_data/M3-4_20210329_120509_Mar1tmwp_kait_R_c.fit
59302.504468	0.04167	13.383	13.339	13.427	15.09798	I	m3_data/M3-4_20210329_120626_Mar1tmxd_kait_I_c.fit
59302.506192	0.04167	15.959	15.776	16.142	16.14972	B	m3_data/M3-4_20210329_120855_Mar1tmyi_kait_B_c.fit
59302.507083	0.04167	14.813	14.736	14.89	15.81732	V	m3_data/M3-4_20210329_121012_Mar1tmyx_kait_V_c.fit
59302.508009	0.04167	14.007	13.965	14.049	15.89479	R	m3_data/M3-4_20210329_121132_Mar1tmzm_kait_R_c.fit
59302.508912	0.04167	13.419	13.373	13.465	15.52645	I	m3_data/M3-4_20210329_121250_Mar1tnac_kait_I_c.fit
59305.481574	0.04167	14.946	14.913	14.979	17.49353	B	m3_data/M3-4_20210401_113328_Apr11mhz_kait_B_c.fit
59305.482465	0.04167	14.179	14.159	14.199	17.65758	V	m3_data/M3-4_20210401_113445_Apr11min_kait_V_c.fit
59305.483322	0.04167	13.667	13.653	13.681	17.39487	R	m3_data/M3-4_20210401_113559_Apr11mjd_kait_R_c.fit
59305.484213	0.04167	13.083	13.067	13.099	16.85133	I	m3_data/M3-4_20210401_113716_Apr11mjs_kait_I_c.fit
59305.485938	0.04167	14.881	14.842	14.92	17.52542	B	m3_data/M3-4_20210401_113945_Apr11mkw_kait_B_c.fit
59305.48684	0.04167	14.161	14.139	14.183	17.54541	V	m3_data/M3-4_20210401_114103_Apr11mll_kait_V_c.fit
59305.487685	0.04167	13.664	13.645	13.683	17.52967	R	m3_data/M3-4_20210401_114216_Apr11mma_kait_R_c.fit
