;; MJD	etburst	mag	-emag	+emag	limmag	filter	imagename
59295.357755	0.04167	15.18	15.153	15.207	18.04396	B	m3/M3-2_20210322_083510_Mar1mjdr_kait_B_c.fit
59295.358657	0.04167	14.768	14.745	14.791	17.94091	V	m3/M3-2_20210322_083628_Mar1mjeg_kait_V_c.fit
59295.359502	0.04167	14.405	14.383	14.427	17.82259	R	m3/M3-2_20210322_083741_Mar1mjev_kait_R_c.fit
59295.360405	0.04167	14.051	14.017	14.085	17.1446	I	m3/M3-2_20210322_083859_Mar1mjfk_kait_I_c.fit
59295.362118	0.04167	15.132	15.111	15.153	18.06898	B	m3/M3-2_20210322_084127_Mar1mjgp_kait_B_c.fit
59295.363021	0.04167	14.783	14.759	14.807	18.03604	V	m3/M3-2_20210322_084245_Mar1mjhd_kait_V_c.fit
59295.363947	0.04167	14.412	14.386	14.438	17.86736	R	m3/M3-2_20210322_084405_Mar1mjht_kait_R_c.fit
59295.364838	0.04167	14.067	14.033	14.101	17.38375	I	m3/M3-2_20210322_084522_Mar1mjij_kait_I_c.fit
59295.366574	0.04167	15.137	15.105	15.169	17.57911	B	m3/M3-2_20210322_084752_Mar1mjjn_kait_B_c.fit
59295.367465	0.04167	14.705	14.677	14.733	17.67726	V	m3/M3-2_20210322_084909_Mar1mjkc_kait_V_c.fit
59295.36831	0.04167	14.445	14.418	14.472	17.79684	R	m3/M3-2_20210322_085022_Mar1mjks_kait_R_c.fit
59295.369213	0.04167	14.066	14.039	14.093	17.32688	I	m3/M3-2_20210322_085140_Mar1mjlg_kait_I_c.fit
59295.495648	0.04167	15.322	15.29	15.354	18.07086	B	m3/M3-2_20210322_115344_Mar1mmri_kait_B_c.fit
59295.496551	0.04167	14.887	14.86	14.914	17.98447	V	m3/M3-2_20210322_115502_Mar1mmrx_kait_V_c.fit
59295.497396	0.04167	14.529	14.497	14.561	17.63469	R	m3/M3-2_20210322_115615_Mar1mmsm_kait_R_c.fit
59295.498299	0.04167	14.123	14.089	14.157	16.94272	I	m3/M3-2_20210322_115733_Mar1mmtb_kait_I_c.fit
59295.500093	0.04167	15.35	15.313	15.387	17.74663	B	m3/M3-2_20210322_120008_Mar1mmuf_kait_B_c.fit
59295.500961	0.04167	14.86	14.83	14.89	17.58533	V	m3/M3-2_20210322_120123_Mar1mmuv_kait_V_c.fit
59295.501817	0.04167	14.5	14.471	14.529	17.34005	R	m3/M3-2_20210322_120237_Mar1mmvk_kait_R_c.fit
59295.502708	0.04167	14.103	14.067	14.139	16.83739	I	m3/M3-2_20210322_120354_Mar1mmvz_kait_I_c.fit
59295.504433	0.04167	15.348	15.313	15.383	17.74902	B	m3/M3-2_20210322_120623_Mar1mmxe_kait_B_c.fit
59295.505336	0.04167	14.854	14.826	14.882	17.51899	V	m3/M3-2_20210322_120741_Mar1mmxs_kait_V_c.fit
59295.506181	0.04167	14.47	14.434	14.506	17.24995	R	m3/M3-2_20210322_120854_Mar1mmyi_kait_R_c.fit
