;; MJD	etburst	mag	-emag	+emag	limmag	filter	imagename
59295.357755	0.04167	15.857	15.828	15.886	18.38718	B	m3/M3-2_20210322_083510_Mar1mjdr_kait_B_c.fit
59295.358657	0.04167	15.686	15.671	15.701	18.43364	V	m3/M3-2_20210322_083628_Mar1mjeg_kait_V_c.fit
59295.359502	0.04167	15.536	15.517	15.555	18.41038	R	m3/M3-2_20210322_083741_Mar1mjev_kait_R_c.fit
59295.360405	0.04167	15.307	15.278	15.336	17.80016	I	m3/M3-2_20210322_083859_Mar1mjfk_kait_I_c.fit
59295.362118	0.04167	15.889	15.856	15.922	18.32368	B	m3/M3-2_20210322_084127_Mar1mjgp_kait_B_c.fit
59295.363021	0.04167	15.754	15.732	15.776	18.56586	V	m3/M3-2_20210322_084245_Mar1mjhd_kait_V_c.fit
59295.363947	0.04167	15.585	15.558	15.612	18.45885	R	m3/M3-2_20210322_084405_Mar1mjht_kait_R_c.fit
59295.364838	0.04167	15.327	15.3	15.354	17.93171	I	m3/M3-2_20210322_084522_Mar1mjij_kait_I_c.fit
59295.366574	0.04167	15.899	15.871	15.927	17.92258	B	m3/M3-2_20210322_084752_Mar1mjjn_kait_B_c.fit
59295.367465	0.04167	15.738	15.721	15.755	18.21427	V	m3/M3-2_20210322_084909_Mar1mjkc_kait_V_c.fit
59295.36831	0.04167	15.582	15.564	15.6	18.41017	R	m3/M3-2_20210322_085022_Mar1mjks_kait_R_c.fit
59295.369213	0.04167	15.299	15.277	15.321	17.81833	I	m3/M3-2_20210322_085140_Mar1mjlg_kait_I_c.fit
59295.495648	0.04167	15.955	15.929	15.981	18.38068	B	m3/M3-2_20210322_115344_Mar1mmri_kait_B_c.fit
59295.496551	0.04167	15.794	15.766	15.822	18.44947	V	m3/M3-2_20210322_115502_Mar1mmrx_kait_V_c.fit
59295.497396	0.04167	15.56	15.538	15.582	18.34248	R	m3/M3-2_20210322_115615_Mar1mmsm_kait_R_c.fit
59295.498299	0.04167	15.379	15.35	15.408	17.66907	I	m3/M3-2_20210322_115733_Mar1mmtb_kait_I_c.fit
59295.500093	0.04167	15.903	15.873	15.933	18.13317	B	m3/M3-2_20210322_120008_Mar1mmuf_kait_B_c.fit
59295.500961	0.04167	15.73	15.71	15.75	18.23398	V	m3/M3-2_20210322_120123_Mar1mmuv_kait_V_c.fit
59295.501817	0.04167	15.549	15.53	15.568	18.1288	R	m3/M3-2_20210322_120237_Mar1mmvk_kait_R_c.fit
59295.502708	0.04167	15.307	15.285	15.329	17.52357	I	m3/M3-2_20210322_120354_Mar1mmvz_kait_I_c.fit
59295.504433	0.04167	15.855	15.823	15.887	18.01237	B	m3/M3-2_20210322_120623_Mar1mmxe_kait_B_c.fit
59295.505336	0.04167	15.661	15.636	15.686	18.14603	V	m3/M3-2_20210322_120741_Mar1mmxs_kait_V_c.fit
59295.506181	0.04167	15.473	15.452	15.494	18.01392	R	m3/M3-2_20210322_120854_Mar1mmyi_kait_R_c.fit
59295.50706	0.04167	15.302	15.269	15.335	17.39288	I	m3/M3-2_20210322_121010_Mar1mmyx_kait_I_c.fit
59300.339641	0.04167	15.582	15.549	15.615	17.59936	B	m3/M3-2_20210327_080905_Mar1rirq_kait_B_c.fit
59300.340532	0.04167	15.444	15.421	15.467	17.55512	V	m3/M3-2_20210327_081022_Mar1risf_kait_V_c.fit
59300.341389	0.04167	15.327	15.308	15.346	17.71405	R	m3/M3-2_20210327_081136_Mar1risu_kait_R_c.fit
59300.342361	0.04167	15.187	15.162	15.212	17.23083	I	m3/M3-2_20210327_081300_Mar1ritj_kait_I_c.fit
59300.344086	0.04167	15.449	15.42	15.478	17.67779	B	m3/M3-2_20210327_081529_Mar1riup_kait_B_c.fit
59300.344988	0.04167	15.428	15.407	15.449	17.99749	V	m3/M3-2_20210327_081647_Mar1rive_kait_V_c.fit
59300.345845	0.04167	15.335	15.313	15.357	17.97258	R	m3/M3-2_20210327_081801_Mar1rivt_kait_R_c.fit
59300.346736	0.04167	15.137	15.114	15.16	17.32458	I	m3/M3-2_20210327_081918_Mar1riwi_kait_I_c.fit
59300.348461	0.04167	15.562	15.528	15.596	17.90109	B	m3/M3-2_20210327_082147_Mar1rixm_kait_B_c.fit
59300.349352	0.04167	15.442	15.418	15.466	18.02139	V	m3/M3-2_20210327_082304_Mar1riyb_kait_V_c.fit
59300.350208	0.04167	15.331	15.305	15.357	18.12387	R	m3/M3-2_20210327_082418_Mar1riyr_kait_R_c.fit
59300.351111	0.04167	15.168	15.145	15.191	17.50444	I	m3/M3-2_20210327_082536_Mar1rizf_kait_I_c.fit
59302.471204	0.04167	15.876	15.789	15.963	16.3611	B	m3/M3-2_20210329_111832_Mar1tmbb_kait_B_c.fit
59302.472118	0.04167	15.788	15.703	15.873	16.02902	V	m3/M3-2_20210329_111951_Mar1tmbr_kait_V_c.fit
59302.472963	0.04167	15.742	15.648	15.836	16.04866	R	m3/M3-2_20210329_112104_Mar1tmcg_kait_R_c.fit
59302.47559	0.04167	16.107	16.006	16.208	16.49354	B	m3/M3-2_20210329_112451_Mar1tmdz_kait_B_c.fit
59302.476481	0.04167	15.78	15.714	15.846	16.35708	V	m3/M3-2_20210329_112608_Mar1tmeo_kait_V_c.fit
59302.477326	0.04167	15.84	15.753	15.927	16.20383	R	m3/M3-2_20210329_112721_Mar1tmfd_kait_R_c.fit
59302.478229	0.04167	15.325	15.231	15.419	15.51316	I	m3/M3-2_20210329_112839_Mar1tmfs_kait_I_c.fit
59302.479954	0.04167	16.154	16.04	16.268	16.407	B	m3/M3-2_20210329_113108_Mar1tmgx_kait_B_c.fit
59302.480868	0.04167	16.073	15.97	16.176	16.1994	V	m3/M3-2_20210329_113227_Mar1tmhm_kait_V_c.fit
59302.481713	0.04167	15.891	15.779	16.003	15.99939	R	m3/M3-2_20210329_113340_Mar1tmib_kait_R_c.fit
59302.482616	0.04167	16.008	15.778	16.238	15.22039	I	m3/M3-2_20210329_113458_Mar1tmiq_kait_I_c.fit
59305.455266	0.04167	15.531	15.5	15.562	17.89052	B	m3/M3-2_20210401_105535_Apr11lqm_kait_B_c.fit
59305.456134	0.04167	15.464	15.445	15.483	18.02742	V	m3/M3-2_20210401_105650_Apr11lrb_kait_V_c.fit
59305.457002	0.04167	15.35	15.333	15.367	18.06622	R	m3/M3-2_20210401_105805_Apr11lrq_kait_R_c.fit
