;; MJD	etburst	mag	-emag	+emag	limmag	filter	imagename
59326.349838	0.08333	15.647	15.628	15.666	20.4545	B	m3_data/M3-2_20210422_082346_d161_Nickel_B_c.fit
59326.352072	0.08333	15.457	15.448	15.466	20.56235	V	m3_data/M3-2_20210422_082659_d162_Nickel_V_c.fit
59326.355706	0.04167	15.253	15.237	15.269	20.22423	R	m3_data/M3-2_20210422_083213_d163_Nickel_R_c.fit
59326.357558	0.04167	15.028	15.008	15.048	19.58864	I	m3_data/M3-2_20210422_083453_d164_Nickel_I_c.fit
59338.417037	0.08333	16.164	16.15	16.178	20.45749	B	m3_data/M3-2_20210504_100032_d187_Nickel_B_c.fit
59338.418947	0.08333	15.857	15.847	15.867	20.23246	V	m3_data/M3-2_20210504_100317_d188_Nickel_V_c.fit
59338.420729	0.04167	15.604	15.595	15.613	19.87172	R	m3_data/M3-2_20210504_100551_d189_Nickel_R_c.fit
59338.421979	0.04167	15.326	15.314	15.338	19.51014	I	m3_data/M3-2_20210504_100739_d190_Nickel_I_c.fit
